Route,Date,Total_Market_Forecast,Total_Market_Lower_CI,Total_Market_Upper_CI,CebuPac_Forecast,CebuPac_Lower_CI,CebuPac_Upper_CI
Cebu (CEB)-Puerto Princesa City (PPS),2025-07-01,10235.4177236447,6951.390864068493,13519.444583220906,8526.0,5419.426129975782,11632.573870024218
Cebu (CEB)-Puerto Princesa City (PPS),2025-08-01,9920.821821266882,5196.217805683179,14645.425836850583,8526.0,4132.641100497879,12919.35889950212
Cebu (CEB)-Puerto Princesa City (PPS),2025-09-01,9516.224478469372,4255.504252954232,14776.944703984513,8526.0,3145.256219652182,13906.743780347817
Cebu (CEB)-Puerto Princesa City (PPS),2025-10-01,13612.232062443127,8226.734798231095,18997.729326655157,8526.0,2312.8522599515645,14739.147740048436
Cebu (CEB)-Puerto Princesa City (PPS),2025-11-01,15891.83856981331,10495.168350622482,21288.50878900414,8526.0,1579.4896495012536,15472.510350498746
Cebu (CEB)-Puerto Princesa City (PPS),2025-12-01,17276.76929720839,11879.743604797728,22673.79498961905,8526.0,916.4791701774375,16135.520829822563
Cebu (CEB)-Puerto Princesa City (PPS),2026-01-01,16532.63303167613,11132.234824736457,21933.031238615804,8526.0,306.7781104644273,16745.221889535573
Cebu (CEB)-Puerto Princesa City (PPS),2026-02-01,12128.820569698102,6725.595876063713,17532.04526333249,8526.0,-260.7177990042419,17312.71779900424
Cebu (CEB)-Puerto Princesa City (PPS),2026-03-01,14007.801988429486,8603.436314657316,19412.167662201657,8526.0,-793.7216100726528,17845.72161007265
Cebu (CEB)-Puerto Princesa City (PPS),2026-04-01,12422.62964473384,7018.02301435738,17827.236275110303,8526.0,-1297.8491488404088,18349.84914884041
Cebu (CEB)-Puerto Princesa City (PPS),2026-05-01,14114.00586138012,8709.385396286605,19518.626326473634,8526.0,-1777.339910392633,18829.339910392635
Cebu (CEB)-Puerto Princesa City (PPS),2026-06-01,13733.842844986073,8329.219060267445,19138.4666297047,8526.0,-2235.4875606956357,19287.487560695634
Cebu (CEB)-nan,2025-07-01,400.53599999999994,-154.23871377687897,955.3107137768789,94.87896774193551,-216.92619414289186,406.6841296267629
