Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_MAE,Total_RMSE,Total_MAPE,CebuPac_MAE,CebuPac_RMSE,CebuPac_MAPE,Total_Model,Total_AIC,Total_Forecast_Avg,CebuPac_Model,CebuPac_AIC,CebuPac_Forecast_Avg
Manila (MNL)-Zamboanga (ZAM),37,2733.843081081081,248.10891891891893,9.07546305916014,868.5394286258198,1045.3024414043261,23.57182764236854,1153.6285294117647,1225.0013869709499,87.10600946539753,"SARIMA(0, 0, 0)(2, 1, 0, 12)",424.87669674827004,3623.1083586174077,"SARIMA(0, 1, 1)(0, 1, 0, 12)",388.2999279116153,1877.558852295383
Ozamiz (OZC)-Cebu (CEB),39,2346.146307692308,27.60661538461538,1.1766791906413336,962.1952743702838,1170.0132172811077,138.59957903749515,111.55517836723122,113.8378522611057,144.838939451464,"SARIMA(0, 0, 1)(0, 0, 0, 12)",603.0781024835705,2210.6451920665577,"SARIMA(1, 0, 0)(0, 1, 1, 12)",301.82130437575137,76.41466961305382
Ozamiz (OZC)-Manila (MNL),37,10944.574432432433,6939.7404324324325,63.40804272724997,2704.006,4216.183769009601,58.08761930788181,1665.5680000000004,2522.199636709196,51.41483737254616,"SARIMA(0, 1, 0)(0, 1, 0, 12)",427.8198726887535,3754.8439999999996,"SARIMA(0, 1, 0)(2, 1, 1, 12)",404.4652216281221,1381.4895836722674
Pagadian (PAG)-Cebu (CEB),37,2033.385081081081,4.283027027027027,0.210635312852295,667.884562755636,725.3431258245026,25.265766015856933,0.0,0.0,,"SARIMA(0, 0, 1)(0, 0, 0, 12)",566.9229030515465,1986.2894957174756,"SARIMA(0, 0, 0)(0, 0, 0, 12)",348.25025488477763,0.0
Pagadian (PAG)-Manila (MNL),37,8561.037081081082,8561.037081081082,100.0,1381.9154858682475,1930.8717305967207,23.652293938101014,1381.9154858682475,1930.8717305967207,23.652293938101014,"SARIMA(0, 0, 1)(0, 0, 0, 12)",641.7839075911127,8364.330125396553,"SARIMA(0, 0, 1)(0, 0, 0, 12)",641.7839075911127,8364.330125396553
Panglao (TAG)-Davao City (DVO),39,2696.50517948718,1696.873794871795,62.92863102137656,1654.188666666667,1783.9795530319288,378.25978705795984,683.5113333333333,796.5383620533707,169.82034308675046,"SARIMA(0, 1, 0)(0, 0, 0, 12)",626.3465263156432,388.23999999999995,"SARIMA(0, 1, 0)(0, 0, 0, 12)",616.196211784521,388.23999999999995
Panglao (TAG)-Manila (MNL),39,49273.52487179487,25737.460615384618,52.23385313380988,44648.848,45343.54798194507,475.2272090953727,18016.88370411828,18605.906128299346,378.6471245956825,"SARIMA(2, 1, 0)(2, 1, 0, 12)",538.9852329520668,-2743.6633486688993,"SARIMA(1, 0, 0)(0, 0, 0, 12)",775.2369921763514,2294.5326098256764
Puerto Princesa City (PPS)-Cebu (CEB),39,5695.966820512821,4526.373230769231,79.46628506452063,8443.062250179772,9707.422353034206,471.9485140400677,4517.148,4865.805809460135,235.7046984702228,"SARIMA(0, 1, 0)(0, 0, 0, 12)",676.3977901777848,1293.0079999999998,"SARIMA(0, 1, 0)(0, 0, 0, 12)",672.163900581976,1293.008
Puerto Princesa City (PPS)-Iloilo (ILO),29,2525.853793103448,2525.853793103448,100.0,627.728,638.1063989524005,31.37227908669584,627.728,638.1063989524005,31.37227908669584,"SARIMA(0, 1, 0)(0, 0, 0, 12)",458.32576414688737,1412.856,"SARIMA(0, 1, 0)(0, 0, 0, 12)",458.32576414688737,1412.856
Puerto Princesa City (PPS)-Manila (MNL),39,52230.47405128205,24988.281025641023,47.842340088865534,38392.72976691052,39310.87469741951,356.6479980494205,19399.819333333337,20254.44919571385,315.24794127524206,"SARIMA(2, 0, 1)(0, 0, 0, 12)",814.0683612539295,37366.71710422247,"SARIMA(2, 0, 0)(1, 0, 0, 12)",765.956540787666,15678.004178607182
Roxas City (RXS)-Manila (MNL),37,13711.764864864868,7780.374972972973,56.742330762318325,3800.91,5940.313183373079,61.40242828417873,2328.534,3497.6441946401583,56.6988918212612,"SARIMA(0, 1, 0)(2, 1, 0, 12)",445.1620857402375,5846.8883366478,"SARIMA(0, 1, 0)(0, 0, 0, 12)",642.2837197176439,3767.6160000000004
Tacloban (TAC)-Manila (MNL),39,55603.21558974359,23100.071538461536,41.54448855782095,60700.77889209499,62032.17827978213,2037.4496737507015,20793.993999999995,21857.277488796353,78.8930264048747,"SARIMA(1, 1, 0)(0, 1, 0, 12)",554.9705106114077,-10558.343378899748,"SARIMA(2, 0, 0)(0, 0, 1, 12)",762.254460628373,17090.040706520824
Tawi Tawi (TWT)-Zamboanga (ZAM),37,3819.294756756757,2209.7704864864863,57.858076614200996,999.7527921422583,1307.5897575826434,74.0688254418864,414.8038542744783,461.8710764949255,32.47146148328943,"SARIMA(2, 0, 0)(0, 0, 0, 12)",650.1110819142699,3140.0303122091077,"SARIMA(1, 0, 0)(0, 0, 0, 12)",644.1990550842115,1903.7907557032424
Tokyo (NRT)-Angeles City (CRK),31,3608.287677419355,3608.287677419355,100.0,2634.587333333333,2864.5298097428367,341.9295602880626,2634.587333333333,2864.5298097428367,341.9295602880626,"SARIMA(0, 0, 2)(0, 0, 0, 12)",520.5465905747315,3176.5250215501496,"SARIMA(0, 0, 2)(0, 0, 0, 12)",520.5465905747315,3176.5250215501496
Tuguegarao (TUG)-Manila (MNL),37,16395.645837837837,14166.103243243244,86.40161774262494,8623.129333333332,12170.460136992573,106.24739541999762,8575.706424242424,11273.687698442176,109.5453438948559,"SARIMA(1, 0, 0)(0, 1, 0, 12)",496.6580918146811,17086.111276039177,"SARIMA(1, 0, 0)(0, 1, 0, 12)",482.9865528279324,15024.374436088046
Zamboanga (ZAM)-Cebu (CEB),39,4618.392717948719,3408.75641025641,73.80828392979161,735.9268347367475,793.7087959945046,62.9804591455535,937.204543069994,1059.1452414680061,102.70763639456679,"SARIMA(1, 0, 0)(1, 0, 0, 12)",705.2735241605219,4042.543071068921,"SARIMA(1, 0, 0)(0, 0, 1, 12)",705.0664863217169,3348.8862987705847
Zamboanga (ZAM)-Manila (MNL),39,26292.600102564105,17967.608512820516,68.33713076200584,20610.170000000002,21301.886247694874,548.2925743238621,13947.401999999996,14652.566985768055,1036.246256253291,"SARIMA(2, 0, 0)(0, 0, 0, 12)",761.3657001591108,13267.323624269675,"SARIMA(1, 0, 0)(0, 0, 0, 12)",744.0154056581855,1216.2829465698692
Zamboanga (ZAM)-Tawi Tawi (TWT),38,5086.493947368421,3523.613368421052,69.27391253938384,1760.6156319935908,2168.1653405829243,68.41457194151566,2214.316805835528,2620.89356609138,114.51151944089372,"SARIMA(2, 0, 1)(1, 0, 0, 12)",690.4025425934406,5963.458717235732,"SARIMA(1, 0, 0)(1, 0, 0, 12)",685.0228597510225,3372.5081026284693
