Airline,ROUTE,Year,Month,Passenger,OwnShfli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To
Philippine Airlines,MNL-CBO,2022.0,9,3060.704,30.68,10000.0,3843.84,10000.0,3992,37
AirAsia,MNL-CEB,2022.0,9,7945.92,16.45,3756.03,3843.84,3217.98,3992,1145
Cebu Pacific,MNL-CEB,2022.0,9,19194.248,48.98,3756.03,3843.84,3217.98,3992,1145
Philippine Airlines,MNL-CEB,2022.0,9,12027.888,30.68,3756.03,3843.84,3217.98,3992,1145
AirAsia,MNL-CGY,2022.0,9,662.16,16.45,5023.48,3843.84,3825.21,3992,420
Cebu Pacific,MNL-CGY,2022.0,9,15109.288,48.98,5023.48,3843.84,3825.21,3992,420
Philippine Airlines,MNL-CGY,2022.0,9,9217.664,30.68,5023.48,3843.84,3825.21,3992,420
Philippine Airlines,MNL-CRM,2022.0,9,329.664,30.68,10000.0,3843.84,10000.0,3992,6
Philippine Airlines,MNL-CYP,2022.0,9,329.664,30.68,10000.0,3843.84,5711.91,3992,33
Cebu Pacific,MNL-CYZ,2022.0,9,3924.6000000000004,48.98,10000.0,3843.84,10000.0,3992,49
Cebu Pacific,MNL-DGT,2022.0,9,6593.328,48.98,5097.98,3843.84,5000.79,3992,133
Philippine Airlines,MNL-DGT,2022.0,9,4974.048000000001,30.68,5097.98,3843.84,5000.79,3992,133
Cebu Pacific,MNL-DPL,2022.0,9,3139.6800000000003,48.98,5134.71,3843.84,5104.89,3992,70
Philippine Airlines,MNL-DPL,2022.0,9,2254.32,30.68,5134.71,3843.84,5104.89,3992,70
Cebu Pacific,MNL-DVO,2022.0,9,18329.148,48.98,5394.64,3843.84,5261.98,3992,446
Philippine Airlines,MNL-DVO,2022.0,9,10289.072,30.68,5394.64,3843.84,5261.98,3992,446
Philippine Airlines,MNL-EUQ,2022.0,9,439.552,30.68,10000.0,3843.84,10000.0,3992,15
Cebu Pacific,MNL-GES,2022.0,9,10993.944,48.98,5534.77,3843.84,5472.66,3992,121
Philippine Airlines,MNL-GES,2022.0,9,5575.2,30.68,5534.77,3843.84,5472.66,3992,121
Philippine Airlines,MNL-IAO,2022.0,9,2472.48,30.68,10000.0,3843.84,5244.71,3992,175
AirAsia,MNL-ILO,2022.0,9,12084.42,16.45,3515.91,3843.84,3253.12,3992,469
Cebu Pacific,MNL-ILO,2022.0,9,8757.344000000001,48.98,3515.91,3843.84,3253.12,3992,469
Philippine Airlines,MNL-ILO,2022.0,9,15746.304,30.68,3515.91,3843.84,3253.12,3992,469
AirAsia,MNL-KLO,2022.0,9,7780.379999999999,16.45,7831.15,3843.84,7795.88,3992,106
Cebu Pacific,MNL-KLO,2022.0,9,1098.8880000000001,48.98,7831.15,3843.84,7795.88,3992,106
Philippine Airlines,MNL-LAO,2022.0,9,644.784,30.68,10000.0,3843.84,10000.0,3992,22
Cebgo,MNL-LGP,2022.0,9,60.768,3.89,4978.06,3843.84,5011.5,3992,194
Cebu Pacific,MNL-LGP,2022.0,9,7064.280000000001,48.98,4978.06,3843.84,5011.5,3992,194
Philippine Airlines,MNL-LGP,2022.0,9,6153.728,30.68,4978.06,3843.84,5011.5,3992,194
Philippine Airlines,MNL-MNL,2022.0,9,391.072,30.68,10000.0,3843.84,3843.84,3992,3992
AirAsia,MNL-MPH,2022.0,9,9766.859999999999,16.45,3195.52,3843.84,3341.86,3992,486
Cebgo,MNL-MPH,2022.0,9,1215.3600000000001,3.89,3195.52,3843.84,3341.86,3992,486
Cebu Pacific,MNL-MPH,2022.0,9,11773.800000000001,48.98,3195.52,3843.84,3341.86,3992,486
Philippine Airlines,MNL-MPH,2022.0,9,7323.712,30.68,3195.52,3843.84,3341.86,3992,486
Cebu Pacific,MNL-OZC,2022.0,9,3924.6000000000004,48.98,10000.0,3843.84,5201.04,3992,84
Cebu Pacific,MNL-PAG,2022.0,9,3296.664,48.98,10000.0,3843.84,8218.63,3992,77
AirAsia,MNL-PPS,2022.0,9,2317.56,16.45,5223.08,3843.84,3852.7,3992,184
Cebu Pacific,MNL-PPS,2022.0,9,6802.64,48.98,5223.08,3843.84,3852.7,3992,184
Philippine Airlines,MNL-PPS,2022.0,9,901.7280000000001,30.68,5223.08,3843.84,3852.7,3992,184
Cebu Pacific,MNL-RXS,2022.0,9,3139.6800000000003,48.98,10000.0,3843.84,7597.97,3992,60
AirAsia,MNL-TAG,2022.0,9,5793.9,16.45,3346.22,3843.84,3375.63,3992,240
Cebu Pacific,MNL-TAG,2022.0,9,5204.104,48.98,3346.22,3843.84,3375.63,3992,240
Philippine Airlines,MNL-TAG,2022.0,9,5014.448,30.68,3346.22,3843.84,3375.63,3992,240
Cebgo,MNL-WNP,2022.0,9,1154.592,3.89,10000.0,3843.84,10000.0,3992,38
Cebu Pacific,MPH-CEB,2022.0,9,2040.7920000000001,48.98,10000.0,3341.86,3217.98,486,1145
AirAsia,MPH-KLO,2022.0,9,165.54,16.45,10000.0,3341.86,7795.88,486,106
AirAsia,MPH-MNL,2022.0,9,13077.66,16.45,3278.17,3341.86,3843.84,486,3992
Cebgo,MPH-MNL,2022.0,9,1154.592,3.89,3278.17,3341.86,3843.84,486,3992
Cebu Pacific,MPH-MNL,2022.0,9,14913.480000000001,48.98,3278.17,3341.86,3843.84,486,3992
Philippine Airlines,MPH-MNL,2022.0,9,8826.592,30.68,3278.17,3341.86,3843.84,486,3992
Cebu Pacific,MPH-NAN,2022.0,9,313.968,48.98,10000.0,3341.86,4868.6,486,5
Philippine Airlines,NAN-NAN,2022.0,9,54.944,30.68,10000.0,4868.6,4868.6,5,5
Cebgo,OZC-CEB,2022.0,9,1093.824,3.89,10000.0,5201.04,3217.98,84,1145
Cebu Pacific,OZC-MNL,2022.0,9,3767.616,48.98,5183.96,5201.04,3843.84,84,3992
Philippine Airlines,OZC-MNL,2022.0,9,2554.896,30.68,5183.96,5201.04,3843.84,84,3992
Cebgo,PAG-CEB,2022.0,9,911.52,3.89,10000.0,8218.63,3217.98,77,1145
Cebu Pacific,PAG-MNL,2022.0,9,6122.376,48.98,10000.0,8218.63,3843.84,77,3992
Philippine Airlines,PPS-CEB,2022.0,9,1098.88,30.68,10000.0,3852.7,3217.98,184,1145
AirAsia,PPS-MNL,2022.0,9,4138.5,16.45,4090.2,3852.7,3843.84,184,3992
Cebu Pacific,PPS-MNL,2022.0,9,6294.552000000001,48.98,4090.2,3852.7,3843.84,184,3992
Philippine Airlines,PPS-MNL,2022.0,9,1612.768,30.68,4090.2,3852.7,3843.84,184,3992
AirAsia,RXS-MNL,2022.0,9,1324.32,16.45,6697.97,7597.97,3843.84,60,3992
Cebu Pacific,RXS-MNL,2022.0,9,5023.488,48.98,6697.97,7597.97,3843.84,60,3992
Cebgo,TAC-CEB,2022.0,9,121.536,3.89,8131.88,4671.25,3217.98,159,1145
Philippine Airlines,TAC-CEB,2022.0,9,1043.9360000000001,30.68,8131.88,4671.25,3217.98,159,1145
AirAsia,TAC-MNL,2022.0,9,7449.299999999999,16.45,5160.15,4671.25,3843.84,159,3992
Cebu Pacific,TAC-MNL,2022.0,9,13814.592,48.98,5160.15,4671.25,3843.84,159,3992
Philippine Airlines,TAC-MNL,2022.0,9,601.152,30.68,5160.15,4671.25,3843.84,159,3992
Philippine Airlines,TAG-DVO,2022.0,9,769.216,30.68,10000.0,3375.63,5261.98,240,446
AirAsia,TAG-MNL,2022.0,9,5793.9,16.45,3606.06,3375.63,3843.84,240,3992
Cebu Pacific,TAG-MNL,2022.0,9,9280.624,48.98,3606.06,3375.63,3843.84,240,3992
Philippine Airlines,TAG-MNL,2022.0,9,4864.160000000001,30.68,3606.06,3375.63,3843.84,240,3992
Cebu Pacific,TUG-MNL,2022.0,9,5337.456,48.98,10000.0,10000.0,3843.84,34,3992
Cebgo,USU-CEB,2022.0,9,1033.056,3.89,5342.68,5140.47,3217.98,93,1145
Philippine Airlines,USU-CEB,2022.0,9,604.384,30.68,5342.68,5140.47,3217.98,93,1145
Cebgo,USU-MNL,2022.0,9,1033.056,3.89,5032.41,5140.47,3843.84,93,3992
Philippine Airlines,USU-MNL,2022.0,9,879.104,30.68,5032.41,5140.47,3843.84,93,3992
Cebgo,WNP-MNL,2022.0,9,1154.592,3.89,10000.0,10000.0,3843.84,38,3992
Philippine Airlines,ZAM-CEB,2022.0,9,494.49600000000004,30.68,10000.0,6044.92,3217.98,97,1145
Cebu Pacific,ZAM-MNL,2022.0,9,11412.568000000001,48.98,6273.34,6044.92,3843.84,97,3992
Philippine Airlines,ZAM-MNL,2022.0,9,3757.2000000000003,30.68,6273.34,6044.92,3843.84,97,3992
Philippine Airlines,BCD-CEB,2022.0,10,1593.376,32.57,10000.0,3625.97,3044.35,559,1731
Cebu Pacific,BCD-DVO,2022.0,10,156.984,47.01,10000.0,3625.97,5087.17,559,693
AirAsia,BCD-MNL,2022.0,10,10936.800000000001,16.79,3615.36,3625.97,3757.89,559,6235
Cebu Pacific,BCD-MNL,2022.0,10,23444.632,47.01,3615.36,3625.97,3757.89,559,6235
Philippine Airlines,BCD-MNL,2022.0,10,19865.488,32.57,3615.36,3625.97,3757.89,559,6235
Cebgo,BXU-CEB,2022.0,10,546.912,3.63,7213.68,5959.34,3044.35,203,1731
Philippine Airlines,BXU-CEB,2022.0,10,109.888,32.57,7213.68,5959.34,3044.35,203,1731
Cebu Pacific,BXU-MNL,2022.0,10,10517.928,47.01,6571.95,5959.34,3757.89,203,6235
Philippine Airlines,BXU-MNL,2022.0,10,2960.512,32.57,6571.95,5959.34,3757.89,203,6235
Philippine Airlines,CBO-MNL,2022.0,10,3210.992,32.57,10000.0,10000.0,3757.89,45,6235
Philippine Airlines,CEB-BCD,2022.0,10,1648.3200000000002,32.57,10000.0,3044.35,3625.97,1731,559
Cebgo,CEB-BXU,2022.0,10,546.912,3.63,7213.68,3044.35,5959.34,1731,203
Philippine Airlines,CEB-BXU,2022.0,10,109.888,32.57,7213.68,3044.35,5959.34,1731,203
Cebgo,CEB-CGY,2022.0,10,4192.992,3.63,5333.14,3044.35,3578.55,1731,651
Philippine Airlines,CEB-CGY,2022.0,10,2472.48,32.57,5333.14,3044.35,3578.55,1731,651
Cebgo,CEB-CRK,2022.0,10,607.6800000000001,3.63,10000.0,3044.35,10000.0,1731,20
Cebgo,CEB-CYP,2022.0,10,1215.3600000000001,3.63,10000.0,3044.35,5243.83,1731,58
Cebu Pacific,CEB-DVO,2022.0,10,4395.552000000001,47.01,5140.93,3044.35,5087.17,1731,693
Philippine Airlines,CEB-DVO,2022.0,10,3131.808,32.57,5140.93,3044.35,5087.17,1731,693
Cebgo,CEB-IAO,2022.0,10,3342.2400000000002,3.63,5576.05,3044.35,5335.38,1731,262
Philippine Airlines,CEB-IAO,2022.0,10,1648.3200000000002,32.57,5576.05,3044.35,5335.38,1731,262
Cebgo,CEB-ILO,2022.0,10,1883.808,3.63,10000.0,3044.35,3247.42,1731,671
AirAsia,CEB-MNL,2022.0,10,7499.52,16.79,4512.28,3044.35,3757.89,1731,6235
Cebu Pacific,CEB-MNL,2022.0,10,32039.928,47.01,4512.28,3044.35,3757.89,1731,6235
Philippine Airlines,CEB-MNL,2022.0,10,13293.216,32.57,4512.28,3044.35,3757.89,1731,6235
Cebu Pacific,CEB-MPH,2022.0,10,4552.536,47.01,7930.74,3044.35,3432.34,1731,852
Philippine Airlines,CEB-MPH,2022.0,10,604.384,32.57,7930.74,3044.35,3432.34,1731,852
Cebgo,CEB-PAG,2022.0,10,546.912,3.63,10000.0,3044.35,7408.1,1731,132
Philippine Airlines,CEB-PPS,2022.0,10,2857.088,32.57,10000.0,3044.35,3552.99,1731,340
Cebgo,CEB-TAC,2022.0,10,60.768,3.63,6063.88,3044.35,4202.17,1731,277
Philippine Airlines,CEB-TAC,2022.0,10,164.832,32.57,6063.88,3044.35,4202.17,1731,277
Cebgo,CEB-USU,2022.0,10,1458.432,3.63,5586.55,3044.35,5330.06,1731,129
Philippine Airlines,CEB-USU,2022.0,10,714.272,32.57,5586.55,3044.35,5330.06,1731,129
Cebgo,CGY-CEB,2022.0,10,5772.96,3.63,5878.61,3578.55,3044.35,651,1731
Philippine Airlines,CGY-CEB,2022.0,10,2362.592,32.57,5878.61,3578.55,3044.35,651,1731
Cebgo,CGY-DVO,2022.0,10,60.768,3.63,10000.0,3578.55,5087.17,651,693
AirAsia,CGY-MNL,2022.0,10,2343.6000000000004,16.79,4395.87,3578.55,3757.89,651,6235
Cebu Pacific,CGY-MNL,2022.0,10,16245.312,47.01,4395.87,3578.55,3757.89,651,6235
Philippine Airlines,CGY-MNL,2022.0,10,12868.208,32.57,4395.87,3578.55,3757.89,651,6235
Cebgo,CRK-CEB,2022.0,10,607.6800000000001,3.63,10000.0,10000.0,3044.35,20,1731
Cebgo,CYP-CEB,2022.0,10,850.752,3.63,10000.0,5243.83,3044.35,58,1731
Philippine Airlines,CYP-MNL,2022.0,10,659.328,32.57,10000.0,5243.83,3757.89,58,6235
Cebu Pacific,CYZ-MNL,2022.0,10,3924.6000000000004,47.01,10000.0,10000.0,3757.89,52,6235
Cebu Pacific,DGT-MNL,2022.0,10,6750.312000000001,47.01,5016.91,5025.53,3757.89,221,6235
Philippine Airlines,DGT-MNL,2022.0,10,7583.888000000001,32.57,5016.91,5025.53,3757.89,221,6235
Cebu Pacific,DPL-MNL,2022.0,10,4395.552000000001,47.01,5048.56,5067.16,3757.89,106,6235
Philippine Airlines,DPL-MNL,2022.0,10,3606.9120000000003,32.57,5048.56,5067.16,3757.89,106,6235
Cebu Pacific,DVO-BCD,2022.0,10,156.984,47.01,10000.0,5087.17,3625.97,693,559
Cebu Pacific,DVO-CEB,2022.0,10,4552.536,47.01,5164.99,5087.17,3044.35,693,1731
Philippine Airlines,DVO-CEB,2022.0,10,3152.8160000000003,32.57,5164.99,5087.17,3044.35,693,1731
Cebgo,DVO-CGY,2022.0,10,60.768,3.63,10000.0,5087.17,3578.55,693,651
Cebu Pacific,DVO-MNL,2022.0,10,25805.3,47.01,5147.82,5087.17,3757.89,693,6235
Philippine Airlines,DVO-MNL,2022.0,10,18233.328,32.57,5147.82,5087.17,3757.89,693,6235
Philippine Airlines,DVO-TAG,2022.0,10,1043.9360000000001,32.57,10000.0,5087.17,3365.99,693,370
Philippine Airlines,EUQ-MNL,2022.0,10,549.44,32.57,10000.0,10000.0,3757.89,22,6235
Cebu Pacific,GES-MNL,2022.0,10,13264.304,47.01,5283.26,5296.56,3757.89,185,6235
Philippine Airlines,GES-MNL,2022.0,10,8164.032,32.57,5283.26,5296.56,3757.89,185,6235
