Route,History_Months,Total_Avg_Historical,CebuPac_Avg_Historical,Market_Share_Pct,Total_Model,Total_AIC,CebuPac_Model,CebuPac_AIC,Total_Forecast_Avg,CebuPac_Forecast_Avg
Dumaguete City (DGT)-Manila (MNL),39,19880.988410256414,12203.216769230768,61.381338379208785,"SARIMA(0, 1, 0)(1, 1, 1, 12)",512.0334726818254,"SARIMA(1, 0, 0)(0, 1, 0, 12)",515.7459208608423,-3292.310729587271,9891.030262484122
General Santos (GES)-Cebu (CEB),37,4874.254756756756,4097.927459459458,84.07290270946255,"SARIMA(1, 0, 0)(0, 0, 0, 12)",663.7580176133068,"SARIMA(1, 0, 0)(0, 0, 0, 12)",661.9361485818765,4023.219541491326,3454.1951409724047
General Santos (GES)-Iloilo (ILO),37,2682.9649189189195,2682.9649189189195,100.0,"SARIMA(1, 0, 0)(0, 0, 0, 12)",613.3662590007514,"SARIMA(1, 0, 0)(0, 0, 0, 12)",613.3662590007514,2415.5186497061554,2415.5186497061554
General Santos (GES)-Manila (MNL),39,32217.965717948715,19846.42705128205,61.600497141958144,"SARIMA(0, 1, 0)(1, 1, 2, 12)",526.7995959904256,"SARIMA(0, 1, 0)(0, 1, 0, 12)",511.64297558592347,-41.27263640940722,-3988.1429166666694
Iloilo (ILO)-Cebu (CEB),39,7336.505025641027,2439.7076923076925,33.25435863235878,"SARIMA(1, 0, 0)(0, 0, 0, 12)",699.4931534216323,"SARIMA(1, 0, 0)(0, 0, 0, 12)",693.4797490227004,2369.274338734723,1175.0623081089082
Iloilo (ILO)-General Santos (GES),37,2657.07572972973,2657.07572972973,100.0,"SARIMA(1, 0, 0)(0, 0, 0, 12)",614.1468154438497,"SARIMA(1, 0, 0)(0, 0, 0, 12)",614.1468154438497,2353.720181764247,2353.720181764247
Iloilo (ILO)-Manila (MNL),39,72835.50035897437,31789.79723076923,43.64602024300129,"SARIMA(2, 1, 0)(0, 1, 0, 12)",558.522105219045,"SARIMA(1, 0, 1)(0, 0, 0, 12)",792.0876349541954,-33057.871554376754,9736.281883067046
Iloilo (ILO)-Puerto Princesa City (PPS),29,2512.0762068965514,2512.0762068965514,100.0,"SARIMA(0, 1, 0)(0, 0, 0, 12)",460.6573929556207,"SARIMA(0, 1, 0)(0, 0, 0, 12)",460.6573929556207,941.9040000000001,941.9040000000001
Kalibo (KLO)-Manila (MNL),39,16970.85461538461,4228.671846153846,24.917259277682,"SARIMA(0, 1, 0)(2, 1, 0, 12)",491.78738894737444,"SARIMA(0, 1, 0)(0, 1, 1, 12)",429.95022974940537,-6822.962908554858,1340.1853465874105
Laoag City (LAO)-Manila (MNL),39,9950.65276923077,3339.253230769231,33.55813239805543,"SARIMA(0, 1, 0)(2, 1, 0, 12)",467.7669430693019,"SARIMA(0, 1, 0)(0, 1, 0, 12)",439.8952382322543,-3854.7668316273916,-1090.4249999999986
