Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry,Cluster_Scenario1,Cluster_Scenario2
CRK-DVO,CRK,DVO,2023.7837837837837,6.594594594594595,960.0384324324324,32.432432432432435,3243.2432432432433,7287.679459459459,5105.256756756757,151.0,783.7297297297297,0.0065,0.6037,0.1865,0.4554,1.2661,1.7601,0.1108,0.1592,3779.0,1837.0,5691259.0,4116016.0,243.0,205.0,0.32432432432432434,0,1
CRK-ENI,CRK,ENI,2023.7837837837837,6.594594594594595,256.8784864864865,18.91891891891892,1891.8918918918919,7287.679459459459,2428.8813513513514,151.0,23.594594594594593,0.0065,0.014099999999999998,0.1865,0.2391,1.2661,1.9942,0.1108,0.0021,3779.0,1095.0,5691259.0,2810208.0,243.0,51.0,0.1891891891891892,0,1
CRK-IAO,CRK,IAO,2023.7837837837837,6.594594594594595,276.1491891891892,8.457567567567567,1505.9005405405405,7287.679459459459,5256.712432432432,151.0,240.56756756756758,0.0065,0.0426,0.1865,0.0,1.2661,1.977,0.1108,0.0025,3779.0,920.0,5691259.0,1728856.0,243.0,47.0,0.1891891891891892,0,1
CRK-ILO,CRK,ILO,2023.7837837837837,6.594594594594595,182.82794594594594,10.81081081081081,1081.081081081081,7287.679459459459,3840.8597297297297,151.0,617.081081081081,0.0065,2.0,0.1865,0.001,1.2661,1.9148999999999998,0.1108,0.0007,3779.0,2618.0,5691259.0,5909568.0,243.0,147.0,0.10810810810810811,0,1
CRK-KLO,CRK,KLO,2023.7837837837837,6.594594594594595,4.242810810810811,2.7027027027027026,270.27027027027026,7287.679459459459,7125.63918918919,151.0,103.64864864864865,0.0065,0.0773,0.1865,0.1044,1.2661,1.8404000000000003,0.1108,0.0029,3779.0,2618.0,5691259.0,5909568.0,243.0,147.0,0.02702702702702703,0,1
CRK-MBT,CRK,MBT,2023.7837837837837,6.594594594594595,205.78962162162162,18.91891891891892,1891.8918918918919,7287.679459459459,4791.424054054054,151.0,7.621621621621622,0.0065,0.0,0.1865,0.052,1.2661,1.9706,0.1108,0.0011,3779.0,1909.0,5691259.0,4631579.0,243.0,93.0,0.1891891891891892,0,1
CRK-MNL,CRK,MNL,2023.7837837837837,6.594594594594595,61.32670270270271,30.510540540540543,4431.261351351352,7287.679459459459,3733.60027027027,151.0,5801.648648648648,0.0065,0.1691,0.1865,0.5725,1.2661,1.9890999999999999,0.1108,0.1717,3779.0,4565.0,5691259.0,7348669.0,243.0,1351.0,0.35135135135135137,2,0
CRK-MPH,CRK,MPH,2023.7837837837837,6.594594594594595,6137.641459459459,82.98189189189189,8235.805135135135,7287.679459459459,4068.8778378378383,151.0,642.2162162162163,0.0065,0.0902,0.1865,1.3168,1.2661,1.9746,0.1108,0.0014,3779.0,2618.0,5691259.0,5909568.0,243.0,147.0,0.8378378378378378,0,1
CRK-PPS,CRK,PPS,2023.7837837837837,6.594594594594595,935.7219459459459,43.24324324324324,4207.251891891892,7287.679459459459,3870.23027027027,151.0,429.3783783783784,0.0065,0.0354,0.1865,0.2292,1.2661,1.3649,0.1108,0.1602,3779.0,1095.0,5691259.0,2810208.0,243.0,51.0,0.43243243243243246,0,1
CRK-SJI,CRK,SJI,2023.7837837837837,6.594594594594595,0.0,0.0,0.0,7287.679459459459,2130.3786486486483,151.0,3.4324324324324325,0.0065,0.22500000000000003,0.1865,0.0171,1.2661,1.9857,0.1108,0.0183,3779.0,1095.0,5691259.0,2810208.0,243.0,51.0,0.0,0,1
CRK-TAG,CRK,TAG,2023.7837837837837,6.594594594594595,222.48778378378375,18.91891891891892,1891.8918918918919,7287.679459459459,3962.4800000000005,151.0,296.6756756756757,0.0065,0.0022,0.1865,0.746,1.2661,1.9782,0.1108,0.0036999999999999997,3779.0,2606.0,5691259.0,7517450.0,243.0,386.0,0.1891891891891892,0,1
CRK-TBH,CRK,TBH,2023.7837837837837,6.594594594594595,7.606054054054053,8.64864864864865,994.5945945945946,7287.679459459459,994.5945945945946,151.0,0.24324324324324326,0.0065,0.0,0.1865,0.0035999999999999995,1.2661,1.9984,0.1108,0.0002,3779.0,1095.0,5691259.0,2810208.0,243.0,51.0,0.10810810810810811,0,1
CRK-USU,CRK,USU,2023.7837837837837,6.594594594594595,354.8841081081081,11.221081081081081,7280.115945945945,7287.679459459459,4928.383513513513,151.0,158.67567567567568,0.0065,0.0053,0.1865,0.0456,1.2661,1.9756999999999998,0.1108,0.0016,3779.0,1095.0,5691259.0,2810208.0,243.0,51.0,0.21621621621621623,0,1
CRM-CEB,CRM,CEB,2023.7837837837837,6.594594594594595,0.0,0.0,1891.8918918918919,9729.72972972973,3082.4816216216213,17.054054054054053,2071.5405405405404,0.058600000000000006,0.0056,0.0541,0.5096,1.9967,1.891,0.0006,0.0813,1528.0,2606.0,1695713.0,7517450.0,103.0,386.0,0.0,0,1
CRM-MNL,CRM,MNL,2023.7837837837837,6.594594594594595,0.0,0.0,9729.72972972973,9729.72972972973,3733.60027027027,17.054054054054053,5801.648648648648,0.058600000000000006,0.1691,0.0541,0.5725,1.9967,1.9890999999999999,0.0006,0.1717,1528.0,4565.0,1695713.0,7348669.0,103.0,1351.0,0.0,2,0
CYP-CEB,CYP,CEB,2023.7837837837837,6.594594594594595,1034.682810810811,97.29729729729729,9729.72972972973,5119.27054054054,3082.4816216216213,29.594594594594593,2071.5405405405404,0.0008999999999999999,0.0056,0.3387,0.5096,1.9297,1.891,0.0019,0.0813,1528.0,2606.0,1695713.0,7517450.0,103.0,386.0,0.972972972972973,0,1
CYP-MNL,CYP,MNL,2023.7837837837837,6.594594594594595,0.0,0.0,9729.72972972973,5119.27054054054,3733.60027027027,29.594594594594593,5801.648648648648,0.0008999999999999999,0.1691,0.3387,0.5725,1.9297,1.9890999999999999,0.0019,0.1717,1528.0,4565.0,1695713.0,7348669.0,103.0,1351.0,0.0,2,0
CYP-TAC,CYP,TAC,2023.7837837837837,6.594594594594595,0.0,0.0,270.27027027027026,5119.27054054054,3548.258108108108,29.594594594594593,350.6216216216216,0.0008999999999999999,0.0177,0.3387,0.1266,1.9297,1.7168,0.0019,0.1699,1528.0,1528.0,1695713.0,1695713.0,103.0,103.0,0.0,0,1
CYZ-MNL,CYZ,MNL,2023.7837837837837,6.594594594594595,5264.483675675676,90.27918918918918,9061.56054054054,9061.574864864866,3733.60027027027,39.729729729729726,5801.648648648648,0.1052,0.1691,0.0793,0.5725,1.6779,1.9890999999999999,0.0065,0.1717,1216.0,4565.0,1113791.0,7348669.0,46.0,1351.0,0.972972972972973,2,0
DGT-CEB,DGT,CEB,2023.7837837837837,6.594594594594595,1070.6614054054055,72.97297297297297,7297.2972972972975,4888.949189189189,3082.4816216216213,151.67567567567568,2071.5405405405404,0.0,0.0056,0.1754,0.5096,1.9427,1.891,0.0084,0.0813,2606.0,2606.0,7517450.0,7517450.0,386.0,386.0,0.7297297297297297,0,1
DGT-ILO,DGT,ILO,2023.7837837837837,6.594594594594595,13.154594594594593,5.405405405405405,540.5405405405405,4888.949189189189,3840.8597297297297,151.67567567567568,617.081081081081,0.0,2.0,0.1754,0.001,1.9427,1.9148999999999998,0.0084,0.0007,2606.0,2618.0,7517450.0,5909568.0,386.0,147.0,0.05405405405405406,0,1
DGT-MNL,DGT,MNL,2023.7837837837837,6.594594594594595,12714.351729729731,60.41486486486486,5346.04027027027,4888.949189189189,3733.60027027027,151.67567567567568,5801.648648648648,0.0,0.1691,0.1754,0.5725,1.9427,1.9890999999999999,0.0084,0.1717,2606.0,4565.0,7517450.0,7348669.0,386.0,1351.0,1.0,2,0
DPL-CEB,DPL,CEB,2023.7837837837837,6.594594594594595,647.1321081081081,48.648648648648646,4864.864864864865,4985.225405405406,3082.4816216216213,74.35135135135135,2071.5405405405404,0.0248,0.0056,0.2653,0.5096,1.9408999999999998,1.891,0.0123,0.0813,1263.0,2606.0,1953463.0,7517450.0,64.0,386.0,0.4864864864864865,0,1
DPL-MNL,DPL,MNL,2023.7837837837837,6.594594594594595,5965.060216216216,59.41594594594594,5499.236216216216,4985.225405405406,3733.60027027027,74.35135135135135,5801.648648648648,0.0248,0.1691,0.2653,0.5725,1.9408999999999998,1.9890999999999999,0.0123,0.1717,1263.0,4565.0,1953463.0,7348669.0,64.0,1351.0,0.972972972972973,2,0
DRP-CEB,DRP,CEB,2023.7837837837837,6.594594594594595,947.1679459459459,59.45945945945946,5657.1986486486485,4671.664594594595,3082.4816216216213,169.40540540540542,2071.5405405405404,2.0,0.0056,0.0165,0.5096,1.3268,1.891,0.0008,0.0813,1909.0,2606.0,4631579.0,7517450.0,93.0,386.0,0.5945945945945946,0,1
DRP-ILO,DRP,ILO,2023.7837837837837,6.594594594594595,580.4757297297297,29.72972972972973,2972.972972972973,4671.664594594595,3840.8597297297297,169.40540540540542,617.081081081081,2.0,2.0,0.0165,0.001,1.3268,1.9148999999999998,0.0008,0.0007,1909.0,2618.0,4631579.0,5909568.0,93.0,147.0,0.2972972972972973,0,1
DRP-MNL,DRP,MNL,2023.7837837837837,6.594594594594595,12433.012486486487,49.475675675675674,4856.406756756756,4671.664594594595,3733.60027027027,169.40540540540542,5801.648648648648,2.0,0.1691,0.0165,0.5725,1.3268,1.9890999999999999,0.0008,0.1717,1909.0,4565.0,4631579.0,7348669.0,93.0,1351.0,0.9459459459459459,2,0
DVO-BCD,DVO,BCD,2023.7837837837837,6.594594594594595,2856.7605405405407,97.29729729729729,9729.72972972973,5014.385675675675,3453.4864864864867,804.3243243243244,465.0,0.6037,0.0525,0.4554,0.1407,1.7601,1.7466000000000002,0.1592,0.1829,1837.0,2618.0,4116016.0,5909568.0,205.0,147.0,0.972972972972973,0,1
DVO-CBO,DVO,CBO,2023.7837837837837,6.594594594594595,0.0,0.0,270.27027027027026,5014.385675675675,9189.18918918919,804.3243243243244,43.21621621621622,0.6037,0.165,0.4554,0.0388,1.7601,1.9501,0.1592,0.0101,1837.0,940.0,4116016.0,1878952.0,205.0,6.0,0.0,0,1
