DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
01 Aug 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4156),1:15,6:35 AM,6:32 AM,7:50 AM,01 Aug 2025,5J405,Cebu Pacific
31 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),1:15,6:35 AM,6:19 AM,7:50 AM,31 Jul 2025,5J405,Cebu Pacific
30 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,6:29 AM,7:50 AM,30 Jul 2025,5J405,Cebu Pacific
29 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4103),1:15,6:35 AM,6:34 AM,7:50 AM,29 Jul 2025,5J405,Cebu Pacific
28 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,6:35 AM,7:50 AM,28 Jul 2025,5J405,Cebu Pacific
27 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,6:24 AM,7:50 AM,27 Jul 2025,5J405,Cebu Pacific
26 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),1:15,6:35 AM,6:20 AM,7:50 AM,26 Jul 2025,5J405,Cebu Pacific
22 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),1:15,6:35 AM,6:22 AM,7:50 AM,22 Jul 2025,5J405,Cebu Pacific
21 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),1:15,6:35 AM,6:31 AM,7:50 AM,21 Jul 2025,5J405,Cebu Pacific
20 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),1:15,6:35 AM,6:31 AM,7:50 AM,20 Jul 2025,5J405,Cebu Pacific
18 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),1:15,6:35 AM,6:31 AM,7:50 AM,18 Jul 2025,5J405,Cebu Pacific
17 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4101),1:15,6:35 AM,6:27 AM,7:50 AM,17 Jul 2025,5J405,Cebu Pacific
16 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,7:34 AM,7:50 AM,16 Jul 2025,5J405,Cebu Pacific
15 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),1:15,6:35 AM,6:38 AM,7:50 AM,15 Jul 2025,5J405,Cebu Pacific
14 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4330),1:15,6:35 AM,6:36 AM,7:50 AM,14 Jul 2025,5J405,Cebu Pacific
13 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,6:29 AM,7:50 AM,13 Jul 2025,5J405,Cebu Pacific
12 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4266),1:15,6:35 AM,6:18 AM,7:50 AM,12 Jul 2025,5J405,Cebu Pacific
11 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),1:15,6:35 AM,6:39 AM,7:50 AM,11 Jul 2025,5J405,Cebu Pacific
10 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:15 PM,5J405,Cebu Pacific
08 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4330),,,,,Landed 11:14 PM,5J405,Cebu Pacific
07 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4106),,,,,Landed 11:23 PM,5J405,Cebu Pacific
06 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),,,,,Landed 11:56 PM,5J405,Cebu Pacific
05 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:24 PM,5J405,Cebu Pacific
04 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:21 PM,5J405,Cebu Pacific
03 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:15 PM,5J405,Cebu Pacific
02 Jul 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C3279),,,,,Landed 11:21 PM,5J405,Cebu Pacific
01 Jul 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:15 PM,5J405,Cebu Pacific
30 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),,,,,Landed 11:17 PM,5J405,Cebu Pacific
29 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),,,,,Landed 11:26 PM,5J405,Cebu Pacific
28 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:46 PM,5J405,Cebu Pacific
27 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:16 PM,5J405,Cebu Pacific
26 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:24 PM,5J405,Cebu Pacific
25 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4265),,,,,Landed 11:20 PM,5J405,Cebu Pacific
24 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),,,,,Landed 11:14 PM,5J405,Cebu Pacific
23 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),,,,,Landed 11:22 PM,5J405,Cebu Pacific
22 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),,,,,Landed 11:25 PM,5J405,Cebu Pacific
21 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),,,,,Landed 11:04 PM,5J405,Cebu Pacific
20 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),,,,,Landed 11:10 PM,5J405,Cebu Pacific
19 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4350),,,,,Landed 11:41 PM,5J405,Cebu Pacific
18 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),,,,,Landed 11:03 PM,5J405,Cebu Pacific
17 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4103),,,,,Landed 11:19 PM,5J405,Cebu Pacific
16 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4100),,,,,Landed 11:08 PM,5J405,Cebu Pacific
15 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4102),,,,,Landed 11:13 PM,5J405,Cebu Pacific
14 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C3279),,,,,Landed 11:06 PM,5J405,Cebu Pacific
13 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4103),,,,,Landed 11:22 PM,5J405,Cebu Pacific
12 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C3278),,,,,Landed 11:22 PM,5J405,Cebu Pacific
11 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),,,,,Landed 11:19 PM,5J405,Cebu Pacific
10 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4101),,,,,Landed 11:20 PM,5J405,Cebu Pacific
09 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4264),,,,,Landed 2:58 AM,5J405,Cebu Pacific
08 Jun 2025,Laoag City (LAO),Manila (MNL),A20N (RP-C4267),,,,,Landed 11:29 PM,5J405,Cebu Pacific
07 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C3278),,,,,Landed 11:28 PM,5J405,Cebu Pacific
06 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4100),,,,,Landed 11:12 PM,5J405,Cebu Pacific
05 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4105),,,,,Landed 11:22 PM,5J405,Cebu Pacific
04 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C3278),,,,,Landed 10:58 PM,5J405,Cebu Pacific
03 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4100),,,,,Landed 11:24 PM,5J405,Cebu Pacific
02 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4102),,,,,Landed 11:33 PM,5J405,Cebu Pacific
01 Jun 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4102),,,,,Landed 11:04 PM,5J405,Cebu Pacific
31 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4103),,,,,Landed 11:23 PM,5J405,Cebu Pacific
30 May 2025,Laoag City (LAO),Manila (MNL),A320 (RP-C4104),,,,,Landed 12:14 AM,5J405,Cebu Pacific
