DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
26-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:13,1:05 PM,1:36 PM,2:55 PM,Landed 2:49 PM,5J773,Cebu Pacific
25-Jul-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4156),1:23,1:05 PM,1:31 PM,2:55 PM,Landed 2:55 PM,5J773,Cebu Pacific
24-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4110),1:10,1:05 PM,1:33 PM,2:55 PM,Landed 2:43 PM,5J773,Cebu Pacific
21-Jul-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4160),1:14,1:05 PM,1:46 PM,2:55 PM,Landed 3:00 PM,5J773,Cebu Pacific
19-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:14,1:05 PM,2:01 PM,2:55 PM,Landed 3:15 PM,5J773,Cebu Pacific
18-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:55,1:05 PM,1:32 PM,2:55 PM,Landed 3:27 PM,5J773,Cebu Pacific
17-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4144),1:12,1:05 PM,1:26 PM,2:55 PM,Landed 2:38 PM,5J773,Cebu Pacific
16-Jul-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4268),1:15,1:05 PM,1:23 PM,2:55 PM,Landed 2:38 PM,5J773,Cebu Pacific
15-Jul-25,Manila (MNL),Manila (MNL),A20N (RP-C4138),0:15,3:04 PM,2:49 PM,3:04 PM,Landed 3:04 PM,5J773,Cebu Pacific
15-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4136),1:17,1:05 PM,1:31 PM,2:55 PM,Landed 2:48 PM,5J773,Cebu Pacific
14-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4110),1:18,1:05 PM,1:31 PM,2:55 PM,Landed 2:49 PM,5J773,Cebu Pacific
13-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4266),1:16,1:05 PM,1:43 PM,2:55 PM,Landed 2:58 PM,5J773,Cebu Pacific
12-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4266),,1:05 PM,1:27 PM,2:55 PM,Diverted to MNL,5J773,Cebu Pacific
11-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:13,1:05 PM,1:34 PM,2:55 PM,Landed 2:47 PM,5J773,Cebu Pacific
10-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4264),1:29,1:05 PM,1:21 PM,2:55 PM,Landed 2:50 PM,5J773,Cebu Pacific
9-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:14,1:05 PM,1:33 PM,2:55 PM,Landed 2:47 PM,5J773,Cebu Pacific
8-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:20,1:05 PM,1:43 PM,2:55 PM,Landed 3:03 PM,5J773,Cebu Pacific
7-Jul-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4107),1:17,1:05 PM,1:22 PM,2:55 PM,Landed 2:39 PM,5J773,Cebu Pacific
6-Jul-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4330),1:13,1:05 PM,1:47 PM,2:55 PM,Landed 3:00 PM,5J773,Cebu Pacific
5-Jul-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4101),1:19,1:05 PM,2:09 PM,2:55 PM,Landed 3:29 PM,5J773,Cebu Pacific
4-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:16,1:05 PM,1:22 PM,2:55 PM,Landed 2:38 PM,5J773,Cebu Pacific
3-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3281),1:14,1:05 PM,1:29 PM,2:55 PM,Landed 2:43 PM,5J773,Cebu Pacific
2-Jul-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:21,1:05 PM,1:36 PM,2:50 PM,Landed 2:57 PM,5J773,Cebu Pacific
30-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4138),1:47,1:05 PM,1:34 PM,2:55 PM,Landed 3:22 PM,5J773,Cebu Pacific
29-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4350),1:09,1:05 PM,1:19 PM,2:55 PM,Landed 2:28 PM,5J773,Cebu Pacific
28-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:14,1:05 PM,2:53 PM,2:55 PM,Landed 4:07 PM,5J773,Cebu Pacific
27-Jun-25,Manila (MNL),Pagadian (PAG),A320 (RP-C4106),1:15,1:05 PM,1:30 PM,2:55 PM,Landed 2:44 PM,5J773,Cebu Pacific
26-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C3239),1:18,1:05 PM,1:26 PM,2:55 PM,Landed 2:44 PM,5J773,Cebu Pacific
25-Jun-25,,Cebu (CEB),A20N (RP-C4265),,8:20 AM,,4:20 PM,Landed 4:20 PM,5J773,Cebu Pacific
25-Jun-25,Manila (MNL),Pagadian (PAG),A20N (RP-C4265),1:16,1:05 PM,1:59 PM,2:55 PM,Landed 3:15 PM,5J773,Cebu Pacific
