Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry,Travelers_From_log,Travelers_To_log,Establishment_From_log,Establishment_To_log,AirFli_From_log,AirFli_To_log,OFW_From_log,OFW_To_log,cluster_elbow,cluster_elbow_dist_to_centroid
CEB-ENI,CEB,ENI,2022,10,0.0,0.0,0.0,3321.96,0.0,823,0,0.0056,0.0141,0.5096,0.2391,1.891,1.9942,0.0813,0.0021,2606,1095,7517450,2810208,386,51,0,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,6.714170529909472,0.0,7.865955413933502,6.999422467507961,1,3.310081714854225
CEB-GES,CEB,GES,2022,10,0.0,0.0,0.0,3321.96,5260.85,823,93,0.0056,0.0677,0.5096,0.0731,1.891,1.8292,0.0813,0.1054,2606,1625,7517450,1705910,386,82,0,15.832737675699201,14.349609836856978,5.958424693029782,4.418840607796598,6.714170529909472,4.543294782270004,7.865955413933502,7.3938782901077555,1,1.8056371601622752
CEB-IAO,CEB,IAO,2022,10,3342.24,66.0,5512.0,3321.96,5291.01,823,153,0.0056,0.0426,0.5096,0.0,1.891,1.977,0.0813,0.0025,2606,920,7517450,1728856,386,47,1,15.832737675699201,14.362971054478116,5.958424693029782,3.871201010907891,6.714170529909472,5.0369526024136295,7.865955413933502,6.825460036255307,1,1.85676631855274
CEB-ILO,CEB,ILO,2022,10,1883.808,100.0,10000.0,3321.96,3287.93,823,332,0.0056,2.0,0.5096,0.001,1.891,1.9149,0.0813,0.0007,2606,2618,7517450,5909568,386,147,1,15.832737675699201,15.592083459480998,5.958424693029782,4.997212273764115,6.714170529909472,5.808142489980444,7.865955413933502,7.870547844507712,1,2.437528150012768
CEB-MBT,CEB,MBT,2022,10,0.0,0.0,0.0,3321.96,10000.0,823,1,0.0056,0.0,0.5096,0.052,1.891,1.9706,0.0813,0.0011,2606,1909,7517450,4631579,386,93,0,15.832737675699201,15.348408620548742,5.958424693029782,4.543294782270004,6.714170529909472,0.6931471805599453,7.865955413933502,7.554858521040676,1,3.064516283141251
CEB-MNL,CEB,MNL,2022,10,32039.928,59.93,4464.57,3321.96,3770.31,823,3440,0.0056,0.1691,0.5096,0.5725,1.891,1.9891,0.0813,0.1717,2606,4565,7517450,7348669,386,1351,1,15.832737675699201,15.81002990243421,5.958424693029782,7.20934025660291,6.714170529909472,8.14351740579748,7.865955413933502,8.42639282708974,0,3.04291701776349
CEB-MPH,CEB,MPH,2022,10,4552.536,87.82,7860.7,3321.96,3437.64,823,386,0.0056,0.0902,0.5096,1.3168,1.891,1.9746,0.0813,0.0014,2606,2618,7517450,5909568,386,147,1,15.832737675699201,15.592083459480998,5.958424693029782,4.997212273764115,6.714170529909472,5.958424693029782,7.865955413933502,7.870547844507712,1,2.2107785145027683
CEB-OZC,CEB,OZC,2022,10,0.0,0.0,0.0,3321.96,10000.0,823,37,0.0056,0.0094,0.5096,0.069,1.891,1.9415,0.0813,0.0078,2606,1573,7517450,2941319,386,135,0,15.832737675699201,14.894369018145523,5.958424693029782,4.912654885736052,6.714170529909472,3.6375861597263857,7.865955413933502,7.3613754289773485,1,2.528049115503872
CEB-PAG,CEB,PAG,2022,10,546.912,100.0,10000.0,3321.96,8183.56,823,40,0.0056,0.1565,0.5096,0.0837,1.891,1.9399,0.0813,0.0091,2606,1263,7517450,1953463,386,64,1,15.832737675699201,14.48511476484572,5.958424693029782,4.174387269895637,6.714170529909472,3.713572066704308,7.865955413933502,7.142036574706803,1,2.2357662910053495
CEB-PPS,CEB,PPS,2022,10,0.0,0.0,10000.0,3321.96,4145.35,823,158,0.0056,0.0354,0.5096,0.2292,1.891,1.3649,0.0813,0.1602,2606,1095,7517450,2810208,386,51,0,15.832737675699201,14.84876941576828,5.958424693029782,3.9512437185814275,6.714170529909472,5.0689042022202315,7.865955413933502,6.999422467507961,1,2.197506073453385
