Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry
CRK-PPS,CRK,PPS,2022,10,0,0,0,10000,4145.35,10,158,0.0065,0.0354,0.1865,0.2292,1.2661,1.3649,0.1108,0.1602,3779,1095,5691259,2810208,243,51,0
CRK-SJI,CRK,SJI,2022,10,0,0,0,10000,0,10,0,0.0065,0.225,0.1865,0.0171,1.2661,1.9857,0.1108,0.0183,3779,1095,5691259,2810208,243,51,0
CRK-TAG,CRK,TAG,2022,10,0,0,0,10000,3446.22,10,173,0.0065,0.0022,0.1865,0.746,1.2661,1.9782,0.1108,0.0037,3779,2606,5691259,7517450,243,386,0
CRK-TBH,CRK,TBH,2022,10,0,0,0,10000,0,10,0,0.0065,0,0.1865,0.0036,1.2661,1.9984,0.1108,0.0002,3779,1095,5691259,2810208,243,51,0
CRK-USU,CRK,USU,2022,10,0,0,0,10000,5642.58,10,39,0.0065,0.0053,0.1865,0.0456,1.2661,1.9757,0.1108,0.0016,3779,1095,5691259,2810208,243,51,0
CRM-CEB,CRM,CEB,2022,10,0,0,0,0,2867.88,0,908,0.0586,0.0056,0.0541,0.5096,1.9967,1.891,0.0006,0.0813,1528,2606,1695713,7517450,103,386,0
CRM-MNL,CRM,MNL,2022,10,0,0,0,0,3770.31,0,3440,0.0586,0.1691,0.0541,0.5725,1.9967,1.9891,0.0006,0.1717,1528,4565,1695713,7348669,103,1351,0
CYP-CEB,CYP,CEB,2022,10,850.752,100,10000,5055.4,2867.88,26,908,0.0009,0.0056,0.3387,0.5096,1.9297,1.891,0.0019,0.0813,1528,2606,1695713,7517450,103,386,1
CYP-MNL,CYP,MNL,2022,10,0,0,10000,5055.4,3770.31,26,3440,0.0009,0.1691,0.3387,0.5725,1.9297,1.9891,0.0019,0.1717,1528,4565,1695713,7348669,103,1351,0
CYP-TAC,CYP,TAC,2022,10,0,0,0,5055.4,3179.68,26,14,0.0009,0.0177,0.3387,0.1266,1.9297,1.7168,0.0019,0.1699,1528,1528,1695713,1695713,103,103,0
CYZ-MNL,CYZ,MNL,2022,10,3924.6,100,10000,10000,3770.31,25,3440,0.1052,0.1691,0.0793,0.5725,1.6779,1.9891,0.0065,0.1717,1216,4565,1113791,7348669,46,1351,1
DGT-CEB,DGT,CEB,2022,10,0,0,0,5031.87,2867.88,96,908,0,0.0056,0.1754,0.5096,1.9427,1.891,0.0084,0.0813,2606,2606,7517450,7517450,386,386,0
DGT-ILO,DGT,ILO,2022,10,0,0,0,5031.87,3287.93,96,332,0,2,0.1754,0.001,1.9427,1.9149,0.0084,0.0007,2606,2618,7517450,5909568,386,147,0
DGT-MNL,DGT,MNL,2022,10,6750.312,46.01,5031.84,5031.87,3770.31,96,3440,0,0.1691,0.1754,0.5725,1.9427,1.9891,0.0084,0.1717,2606,4565,7517450,7348669,386,1351,1
DPL-CEB,DPL,CEB,2022,10,0,0,0,5029.59,2867.88,52,908,0.0248,0.0056,0.2653,0.5096,1.9409,1.891,0.0123,0.0813,1263,2606,1953463,7517450,64,386,0
DPL-MNL,DPL,MNL,2022,10,4395.552,53.85,5029.65,5029.59,3770.31,52,3440,0.0248,0.1691,0.2653,0.5725,1.9409,1.9891,0.0123,0.1717,1263,4565,1953463,7348669,64,1351,1
DRP-CEB,DRP,CEB,2022,10,0,0,0,0,2867.88,0,908,2,0.0056,0.0165,0.5096,1.3268,1.891,0.0008,0.0813,1909,2606,4631579,7517450,93,386,0
DRP-ILO,DRP,ILO,2022,10,0,0,0,0,3287.93,0,332,2,2,0.0165,0.001,1.3268,1.9149,0.0008,0.0007,1909,2618,4631579,5909568,93,147,0
DRP-MNL,DRP,MNL,2022,10,0,0,0,0,3770.31,0,3440,2,0.1691,0.0165,0.5725,1.3268,1.9891,0.0008,0.1717,1909,4565,4631579,7348669,93,1351,0
DVO-BCD,DVO,BCD,2022,10,156.984,100,10000,5074.83,3634.63,343,223,0.6037,0.0525,0.4554,0.1407,1.7601,1.7466,0.1592,0.1829,1837,2618,4116016,5909568,205,147,1
DVO-CBO,DVO,CBO,2022,10,0,0,0,5074.83,10000,343,23,0.6037,0.165,0.4554,0.0388,1.7601,1.9501,0.1592,0.0101,1837,940,4116016,1878952,205,6,0
DVO-CEB,DVO,CEB,2022,10,4552.536,58.02,5128.64,5074.83,2867.88,343,908,0.6037,0.0056,0.4554,0.5096,1.7601,1.891,0.1592,0.0813,1837,2606,4116016,7517450,205,386,1
DVO-CGY,DVO,CGY,2022,10,60.768,100,10000,5074.83,3773.84,343,328,0.6037,0.072,0.4554,0.0369,1.7601,1.9531,0.1592,0.0014,1837,1573,4116016,2941319,205,135,1
DVO-CRK,DVO,CRK,2022,10,0,0,0,5074.83,10000,343,10,0.6037,0.0065,0.4554,0.1865,1.7601,1.2661,0.1592,0.1108,1837,3779,4116016,5691259,205,243,0
DVO-DGT,DVO,DGT,2022,10,0,0,0,5074.83,5111.25,343,125,0.6037,0,0.4554,0.1754,1.7601,1.9427,0.1592,0.0084,1837,2606,4116016,7517450,205,386,0
DVO-IAO,DVO,IAO,2022,10,0,0,0,5074.83,5291.01,343,153,0.6037,0.0426,0.4554,0,1.7601,1.977,0.1592,0.0025,1837,920,4116016,1728856,205,47,0
DVO-ILO,DVO,ILO,2022,10,0,0,0,5074.83,3287.93,343,332,0.6037,2,0.4554,0.001,1.7601,1.9149,0.1592,0.0007,1837,2618,4116016,5909568,205,147,0
DVO-MNL,DVO,MNL,2022,10,25805.3,57.54,5113.7,5074.83,3770.31,343,3440,0.6037,0.1691,0.4554,0.5725,1.7601,1.9891,0.1592,0.1717,1837,4565,4116016,7348669,205,1351,1
DVO-MPH,DVO,MPH,2022,10,0,0,0,5074.83,3437.64,343,386,0.6037,0.0902,0.4554,1.3168,1.7601,1.9746,0.1592,0.0014,1837,2618,4116016,5909568,205,147,0
DVO-PPS,DVO,PPS,2022,10,0,0,0,5074.83,4145.35,343,158,0.6037,0.0354,0.4554,0.2292,1.7601,1.3649,0.1592,0.1602,1837,1095,4116016,2810208,205,51,0
DVO-TAG,DVO,TAG,2022,10,0,0,10000,5074.83,3446.22,343,173,0.6037,0.0022,0.4554,0.746,1.7601,1.9782,0.1592,0.0037,1837,2606,4116016,7517450,205,386,0
DVO-ZAM,DVO,ZAM,2022,10,0,0,0,5074.83,0,343,0,0.6037,0.0394,0.4554,0.0863,1.7601,1.405,0.1592,0.2669,1837,1263,4116016,1953463,205,64,0
ENI-CEB,ENI,CEB,2022,10,0,0,0,0,2867.88,0,908,0.0141,0.0056,0.2391,0.5096,1.9942,1.891,0.0021,0.0813,1095,2606,2810208,7517450,51,386,0
ENI-CRK,ENI,CRK,2022,10,0,0,0,0,10000,0,10,0.0141,0.0065,0.2391,0.1865,1.9942,1.2661,0.0021,0.1108,1095,3779,2810208,5691259,51,243,0
ENI-MNL,ENI,MNL,2022,10,0,0,0,0,3770.31,0,3440,0.0141,0.1691,0.2391,0.5725,1.9942,1.9891,0.0021,0.1717,1095,4565,2810208,7348669,51,1351,0
ENI-MPH,ENI,MPH,2022,10,0,0,0,0,3437.64,0,386,0.0141,0.0902,0.2391,1.3168,1.9942,1.9746,0.0021,0.0014,1095,2618,2810208,5909568,51,147,0
ENI-TAG,ENI,TAG,2022,10,0,0,0,0,3446.22,0,173,0.0141,0.0022,0.2391,0.746,1.9942,1.9782,0.0021,0.0037,1095,2606,2810208,7517450,51,386,0
ENI-USU,ENI,USU,2022,10,0,0,0,0,5642.58,0,39,0.0141,0.0053,0.2391,0.0456,1.9942,1.9757,0.0021,0.0016,1095,1095,2810208,2810208,51,51,0
EUQ-MNL,EUQ,MNL,2022,10,0,0,10000,10000,3770.31,10,3440,0.0176,0.1691,0.2494,0.5725,1.9871,1.9891,0.0009,0.1717,2618,4565,5909568,7348669,147,1351,0
GES-CEB,GES,CEB,2022,10,0,0,0,5236.21,2867.88,92,908,0.0677,0.0056,0.0731,0.5096,1.8292,1.891,0.1054,0.0813,1625,2606,1705910,7517450,82,386,0
GES-ILO,GES,ILO,2022,10,0,0,0,5236.21,3287.93,92,332,0.0677,2,0.0731,0.001,1.8292,1.9149,0.1054,0.0007,1625,2618,1705910,5909568,82,147,0
GES-MNL,GES,MNL,2022,10,13264.304,60.87,5236.31,5236.21,3770.31,92,3440,0.0677,0.1691,0.0731,0.5725,1.8292,1.9891,0.1054,0.1717,1625,4565,1705910,7348669,82,1351,1
IAO-CEB,IAO,CEB,2022,10,2066.112,56.25,5078.12,5553.2,2867.88,109,908,0.0426,0.0056,0,0.5096,1.977,1.891,0.0025,0.0813,920,2606,1728856,7517450,47,386,1
IAO-CRK,IAO,CRK,2022,10,0,0,0,5553.2,10000,109,10,0.0426,0.0065,0,0.1865,1.977,1.2661,0.0025,0.1108,920,3779,1728856,5691259,47,243,0
IAO-DVO,IAO,DVO,2022,10,0,0,0,5553.2,5046.04,109,350,0.0426,0.6037,0,0.4554,1.977,1.7601,0.0025,0.1592,920,1837,1728856,4116016,47,205,0
IAO-MNL,IAO,MNL,2022,10,0,0,10000,5553.2,3770.31,109,3440,0.0426,0.1691,0,0.5725,1.977,1.9891,0.0025,0.1717,920,4565,1728856,7348669,47,1351,0
ILO-BCD,ILO,BCD,2022,10,0,0,0,3291.41,3634.63,339,223,2,0.0525,0.001,0.1407,1.9149,1.7466,0.0007,0.1829,2618,2618,5909568,5909568,147,147,0
ILO-CEB,ILO,CEB,2022,10,1823.04,100,10000,3291.41,2867.88,339,908,2,0.0056,0.001,0.5096,1.9149,1.891,0.0007,0.0813,2618,2606,5909568,7517450,147,386,1
ILO-CGY,ILO,CGY,2022,10,0,0,0,3291.41,3773.84,339,328,2,0.072,0.001,0.0369,1.9149,1.9531,0.0007,0.0014,2618,1573,5909568,2941319,147,135,0
ILO-CRK,ILO,CRK,2022,10,0,0,0,3291.41,10000,339,10,2,0.0065,0.001,0.1865,1.9149,1.2661,0.0007,0.1108,2618,3779,5909568,5691259,147,243,0
ILO-DGT,ILO,DGT,2022,10,0,0,0,3291.41,5111.25,339,125,2,0,0.001,0.1754,1.9149,1.9427,0.0007,0.0084,2618,2606,5909568,7517450,147,386,0
ILO-DRP,ILO,DRP,2022,10,0,0,0,3291.41,0,339,0,2,2,0.001,0.0165,1.9149,1.3268,0.0007,0.0008,2618,1909,5909568,4631579,147,93,0
ILO-DVO,ILO,DVO,2022,10,0,0,0,3291.41,5046.04,339,350,2,0.6037,0.001,0.4554,1.9149,1.7601,0.0007,0.1592,2618,1837,5909568,4116016,147,205,0
ILO-GES,ILO,GES,2022,10,0,0,0,3291.41,5260.85,339,93,2,0.0677,0.001,0.0731,1.9149,1.8292,0.0007,0.1054,2618,1625,5909568,1705910,147,82,0
ILO-KLO,ILO,KLO,2022,10,0,0,0,3291.41,8715.81,339,87,2,0.0773,0.001,0.1044,1.9149,1.8404,0.0007,0.0029,2618,2618,5909568,5909568,147,147,0
ILO-MNL,ILO,MNL,2022,10,11814.312,22.63,3513.3,3291.41,3770.31,339,3440,2,0.1691,0.001,0.5725,1.9149,1.9891,0.0007,0.1717,2618,4565,5909568,7348669,147,1351,1
ILO-MPH,ILO,MPH,2022,10,0,0,0,3291.41,3437.64,339,386,2,0.0902,0.001,1.3168,1.9149,1.9746,0.0007,0.0014,2618,2618,5909568,5909568,147,147,0
ILO-PPS,ILO,PPS,2022,10,0,0,0,3291.41,4145.35,339,158,2,0.0354,0.001,0.2292,1.9149,1.3649,0.0007,0.1602,2618,1095,5909568,2810208,147,51,0
ILO-TAC,ILO,TAC,2022,10,0,0,0,3291.41,3179.68,339,14,2,0.0177,0.001,0.1266,1.9149,1.7168,0.0007,0.1699,2618,1528,5909568,1695713,147,103,0
ILO-TAG,ILO,TAG,2022,10,0,0,0,3291.41,3446.22,339,173,2,0.0022,0.001,0.746,1.9149,1.9782,0.0007,0.0037,2618,2606,5909568,7517450,147,386,0
ILO-ZAM,ILO,ZAM,2022,10,0,0,0,3291.41,0,339,0,2,0.0394,0.001,0.0863,1.9149,1.405,0.0007,0.2669,2618,1263,5909568,1953463,147,64,0
KLO-MNL,KLO,MNL,2022,10,1098.888,8.24,8487.8,8488.58,3770.31,85,3440,0.0773,0.1691,0.1044,0.5725,1.8404,1.9891,0.0029,0.1717,2618,4565,5909568,7348669,147,1351,1
KLO-MPH,KLO,MPH,2022,10,0,0,0,8488.58,3437.64,85,386,0.0773,0.0902,0.1044,1.3168,1.8404,1.9746,0.0029,0.0014,2618,2618,5909568,5909568,147,147,0
LAO-MNL,LAO,MNL,2022,10,0,0,10000,10000,3770.31,13,3440,0.1189,0.1691,0.4868,0.5725,1.9367,1.9891,0.0129,0.1717,1736,4565,1857396,7348669,58,1351,0
LGP-MNL,LGP,MNL,2022,10,11459.832,58.04,5129.28,5129.3,3770.31,141,3440,2,0.1691,1.1444,0.5725,1.9183,1.9891,0.0098,0.1717,1909,4565,4631579,7348669,93,1351,1
MBT-CEB,MBT,CEB,2022,10,0,0,0,0,2867.88,0,908,0,0.0056,0.052,0.5096,1.9706,1.891,0.0011,0.0813,1909,2606,4631579,7517450,93,386,0
MBT-CRK,MBT,CRK,2022,10,0,0,0,0,10000,0,10,0,0.0065,0.052,0.1865,1.9706,1.2661,0.0011,0.1108,1909,3779,4631579,5691259,93,243,0
MBT-MNL,MBT,MNL,2022,10,0,0,0,0,3770.31,0,3440,0,0.1691,0.052,0.5725,1.9706,1.9891,0.0011,0.1717,1909,4565,4631579,7348669,93,1351,0
MNL-BAG,MNL,BAG,2022,10,0,0,0,3720.46,0,2796,0,0.1691,0.2033,0.5725,0.5139,1.9891,1.4349,0.1717,0.1274,4565,627,7348669,1983511,1351,38,0
MNL-BCD,MNL,BCD,2022,10,13998.584,41.08,3592.26,3720.46,3634.63,2796,223,0.1691,0.0525,0.5725,0.1407,1.9891,1.7466,0.1717,0.1829,4565,2618,7348669,5909568,1351,147,1
MNL-BSO,MNL,BSO,2022,10,0,0,10000,3720.46,10000,2796,23,0.1691,0.0348,0.5725,0.2377,1.9891,1.996,0.1717,0.0006,4565,1216,7348669,1113791,1351,46,0
MNL-BXU,MNL,BXU,2022,10,10674.912,75.81,6332.31,3720.46,5826.92,2796,103,0.1691,0.018,0.5725,0.0452,1.9891,1.8643,0.1717,0.2916,4565,920,7348669,1728856,1351,47,1
MNL-CBO,MNL,CBO,2022,10,0,0,10000,3720.46,10000,2796,23,0.1691,0.165,0.5725,0.0388,1.9891,1.9501,0.1717,0.0101,4565,940,7348669,1878952,1351,6,0
MNL-CEB,MNL,CEB,2022,10,25012.784,43.46,3535.08,3720.46,2867.88,2796,908,0.1691,0.0056,0.5725,0.5096,1.9891,1.891,0.1717,0.0813,4565,2606,7348669,7517450,1351,386,1
MNL-CGY,MNL,CGY,2022,10,20678,56.43,4605.07,3720.46,3773.84,2796,328,0.1691,0.072,0.5725,0.0369,1.9891,1.9531,0.1717,0.0014,4565,1573,7348669,2941319,1351,135,1
MNL-CRK,MNL,CRK,2022,10,0,0,0,3720.46,10000,2796,10,0.1691,0.0065,0.5725,0.1865,1.9891,1.2661,0.1717,0.1108,4565,3779,7348669,5691259,1351,243,0
MNL-CRM,MNL,CRM,2022,10,0,0,10000,3720.46,10000,2796,13,0.1691,0.0586,0.5725,0.0541,1.9891,1.9967,0.1717,0.0006,4565,1528,7348669,1695713,1351,103,0
