Route,From,To,Year,Month,Passenger,OwnShFli,RouteHHI,AirHHI_From,AirHHI_To,AirFli_From,AirFli_To,Business_From,Business_To,Accommodation_From,Accommodation_To,Port_From,Port_To,EGrowth_From,EGrowth_To,OFW_From,OFW_To,Travelers_From,Travelers_To,Establishment_From,Establishment_To,Entry
ILO-ZAM,ILO,ZAM,2024,9,0,0,0,3685.88,7714.68,612,38,2,0.0394,0.001,0.0863,1.9149,1.405,0.0007,0.2669,2618,1263,5909568,1953463,147,64,0
KLO-MNL,KLO,MNL,2024,9,3453.648,21.36,6640.5,6640.59,3740.03,103,6030,0.0773,0.1691,0.1044,0.5725,1.8404,1.9891,0.0029,0.1717,2618,4565,5909568,7348669,147,1351,1
KLO-MPH,KLO,MPH,2024,9,0,0,0,6640.59,3698.71,103,577,0.0773,0.0902,0.1044,1.3168,1.8404,1.9746,0.0029,0.0014,2618,2618,5909568,5909568,147,147,0
LAO-MNL,LAO,MNL,2024,9,2825.712,27.5,6012.5,6012.8,3740.03,68,6030,0.1189,0.1691,0.4868,0.5725,1.9367,1.9891,0.0129,0.1717,1736,4565,1857396,7348669,58,1351,1
LGP-MNL,LGP,MNL,2024,9,0,0,0,0,3740.03,0,6030,2,0.1691,1.1444,0.5725,1.9183,1.9891,0.0098,0.1717,1909,4565,4631579,7348669,93,1351,0
MBT-CEB,MBT,CEB,2024,9,0,0,0,0,3258.58,0,1862,0,0.0056,0.052,0.5096,1.9706,1.891,0.0011,0.0813,1909,2606,4631579,7517450,93,386,0
MBT-CRK,MBT,CRK,2024,9,0,0,0,0,6904.27,0,135,0,0.0065,0.052,0.1865,1.9706,1.2661,0.0011,0.1108,1909,3779,4631579,5691259,93,243,0
MBT-MNL,MBT,MNL,2024,9,0,0,0,0,3740.03,0,6030,0,0.1691,0.052,0.5725,1.9706,1.9891,0.0011,0.1717,1909,4565,4631579,7348669,93,1351,0
MNL-BAG,MNL,BAG,2024,9,0,0,0,3855.77,0,5337,0,0.1691,0.2033,0.5725,0.5139,1.9891,1.4349,0.1717,0.1274,4565,627,7348669,1983511,1351,38,0
MNL-BCD,MNL,BCD,2024,9,26287.224,42.43,3569.81,3855.77,3440.42,5337,454,0.1691,0.0525,0.5725,0.1407,1.9891,1.7466,0.1717,0.1829,4565,2618,7348669,5909568,1351,147,1
MNL-BSO,MNL,BSO,2024,9,0,0,10000,3855.77,10000,5337,35,0.1691,0.0348,0.5725,0.2377,1.9891,1.996,0.1717,0.0006,4565,1216,7348669,1113791,1351,46,0
MNL-BXU,MNL,BXU,2024,9,17102.816,64.69,5431.59,3855.77,4690.74,5337,220,0.1691,0.018,0.5725,0.0452,1.9891,1.8643,0.1717,0.2916,4565,920,7348669,1728856,1351,47,1
MNL-CBO,MNL,CBO,2024,9,0,0,10000,3855.77,10000,5337,61,0.1691,0.165,0.5725,0.0388,1.9891,1.9501,0.1717,0.0101,4565,940,7348669,1878952,1351,6,0
MNL-CEB,MNL,CEB,2024,9,51825.82,42.35,3505.4,3855.77,3258.58,5337,1862,0.1691,0.0056,0.5725,0.5096,1.9891,1.891,0.1717,0.0813,4565,2606,7348669,7517450,1351,386,1
MNL-CGY,MNL,CGY,2024,9,30944.416,50.76,3966.72,3855.77,3563.22,5337,508,0.1691,0.072,0.5725,0.0369,1.9891,1.9531,0.1717,0.0014,4565,1573,7348669,2941319,1351,135,1
MNL-CRK,MNL,CRK,2024,9,0,0,0,3855.77,6904.27,5337,135,0.1691,0.0065,0.5725,0.1865,1.9891,1.2661,0.1717,0.1108,4565,3779,7348669,5691259,1351,243,0
MNL-CRM,MNL,CRM,2024,9,0,0,10000,3855.77,10000,5337,17,0.1691,0.0586,0.5725,0.0541,1.9891,1.9967,0.1717,0.0006,4565,1528,7348669,1695713,1351,103,0
MNL-CYP,MNL,CYP,2024,9,0,0,10000,3855.77,5055.4,5337,26,0.1691,0.0009,0.5725,0.3387,1.9891,1.9297,0.1717,0.0019,4565,1528,7348669,1695713,1351,103,0
MNL-CYZ,MNL,CYZ,2024,9,4081.584,100,10000,3855.77,10000,5337,26,0.1691,0.1052,0.5725,0.0793,1.9891,1.6779,0.1717,0.0065,4565,1216,7348669,1113791,1351,46,1
MNL-DGT,MNL,DGT,2024,9,17268.24,65.09,5455.42,3855.77,5152.77,5337,182,0.1691,0,0.5725,0.1754,1.9891,1.9427,0.1717,0.0084,4565,2606,7348669,7517450,1351,386,1
MNL-DPL,MNL,DPL,2024,9,6750.312,58.9,5158.42,3855.77,5158.57,5337,73,0.1691,0.0248,0.5725,0.2653,1.9891,1.9409,0.1717,0.0123,4565,1263,7348669,1953463,1351,64,1
MNL-DRP,MNL,DRP,2024,9,12899.696,48.64,5003.7,3855.77,4980.88,5337,168,0.1691,2,0.5725,0.0165,1.9891,1.3268,0.1717,0.0008,4565,1909,7348669,4631579,1351,93,1
MNL-DVO,MNL,DVO,2024,9,54298.74,50.63,5000.79,3855.77,5002.83,5337,831,0.1691,0.6037,0.5725,0.4554,1.9891,1.7601,0.1717,0.1592,4565,1837,7348669,4116016,1351,205,1
MNL-ENI,MNL,ENI,2024,9,0,0,0,3855.77,0,5337,0,0.1691,0.0141,0.5725,0.2391,1.9891,1.9942,0.1717,0.0021,4565,1095,7348669,2810208,1351,51,0
MNL-EUQ,MNL,EUQ,2024,9,0,0,10000,3855.77,10000,5337,12,0.1691,0.0176,0.5725,0.2494,1.9891,1.9871,0.1717,0.0009,4565,2618,7348669,5909568,1351,147,0
MNL-GES,MNL,GES,2024,9,20429.864,54.83,5046.66,3855.77,5047.22,5337,187,0.1691,0.0677,0.5725,0.0731,1.9891,1.8292,0.1717,0.1054,4565,1625,7348669,1705910,1351,82,1
MNL-IAO,MNL,IAO,2024,9,0,0,10000,3855.77,4973.06,5337,231,0.1691,0.0426,0.5725,0,1.9891,1.977,0.1717,0.0025,4565,920,7348669,1728856,1351,47,0
MNL-ILO,MNL,ILO,2024,9,32630.728,45.1,3551.41,3855.77,3929,5337,563,0.1691,2,0.5725,0.001,1.9891,1.9149,0.1717,0.0007,4565,2618,7348669,5909568,1351,147,1
MNL-KLO,MNL,KLO,2024,9,3296.664,20.59,6729.9,3855.77,6640.59,5337,103,0.1691,0.0773,0.5725,0.1044,1.9891,1.8404,0.1717,0.0029,4565,2618,7348669,5909568,1351,147,1
MNL-LAO,MNL,LAO,2024,9,2825.712,27.08,6050.65,3855.77,6050.38,5337,69,0.1691,0.1189,0.5725,0.4868,1.9891,1.9367,0.1717,0.0129,4565,1736,7348669,1857396,1351,58,1
MNL-LGP,MNL,LGP,2024,9,0,0,0,3855.77,0,5337,0,0.1691,2,0.5725,1.1444,1.9891,1.9183,0.1717,0.0098,4565,1909,7348669,4631579,1351,93,0
MNL-MBT,MNL,MBT,2024,9,182.304,100,10000,3855.77,10000,5337,3,0.1691,0,0.5725,0.052,1.9891,1.9706,0.1717,0.0011,4565,1909,7348669,4631579,1351,93,1
MNL-MPH,MNL,MPH,2024,9,32531.136,47.89,3442.95,3855.77,3698.71,5337,577,0.1691,0.0902,0.5725,1.3168,1.9891,1.9746,0.1717,0.0014,4565,2618,7348669,5909568,1351,147,1
MNL-OZC,MNL,OZC,2024,9,7378.248,62.67,5321.06,3855.77,4135.84,5337,113,0.1691,0.0094,0.5725,0.069,1.9891,1.9415,0.1717,0.0078,4565,1573,7348669,2941319,1351,135,1
MNL-PAG,MNL,PAG,2024,9,9733.008,100,10000,3855.77,7342.61,5337,92,0.1691,0.1565,0.5725,0.0837,1.9891,1.9399,0.1717,0.0091,4565,1263,7348669,1953463,1351,64,1
MNL-PPS,MNL,PPS,2024,9,22801.504,47.34,3628.14,3855.77,3832.5,5337,383,0.1691,0.0354,0.5725,0.2292,1.9891,1.3649,0.1717,0.1602,4565,1095,7348669,2810208,1351,51,1
MNL-RXS,MNL,RXS,2024,9,7378.248,54.02,4143.88,3855.77,4144.54,5337,87,0.1691,0.0162,0.5725,0.1767,1.9891,1.9047,0.1717,0.0026,4565,2618,7348669,5909568,1351,147,1
MNL-SJI,MNL,SJI,2024,9,0,0,0,3855.77,0,5337,0,0.1691,0.225,0.5725,0.0171,1.9891,1.9857,0.1717,0.0183,4565,1095,7348669,2810208,1351,51,0
MNL-TAC,MNL,TAC,2024,9,22448.712,45.17,3771.4,3855.77,3531.83,5337,365,0.1691,0.0177,0.5725,0.1266,1.9891,1.7168,0.1717,0.1699,4565,1528,7348669,1695713,1351,103,1
MNL-TAG,MNL,TAG,2024,9,21260.36,50.58,3892.91,3855.77,4104.2,5337,303,0.1691,0.0022,0.5725,0.746,1.9891,1.9782,0.1717,0.0037,4565,2606,7348669,7517450,1351,386,1
MNL-TUG,MNL,TUG,2024,9,8320.152,73.61,6114.86,3855.77,6114.97,5337,72,0.1691,0.1667,0.5725,0.1568,1.9891,1.6703,0.1717,0.0064,4565,1216,7348669,1113791,1351,46,1
MNL-USU,MNL,USU,2024,9,1640.736,54.36,5038.02,3855.77,5298.05,5337,96,0.1691,0.0053,0.5725,0.0456,1.9891,1.9757,0.1717,0.0016,4565,1095,7348669,2810208,1351,51,1
MNL-VRC,MNL,VRC,2024,9,4552.536,100,10000,3855.77,10000,5337,29,0.1691,0.0996,0.5725,0.0298,1.9891,1.9966,0.1717,0.0009,4565,1909,7348669,4631579,1351,93,1
MNL-WNP,MNL,WNP,2024,9,3038.4,100,10000,3855.77,10000,5337,50,0.1691,1.1518,0.5725,0.0089,1.9891,1.909,0.1717,0.0013,4565,1909,7348669,4631579,1351,93,1
MNL-ZAM,MNL,ZAM,2024,9,156.984,4,9232,3855.77,7714.68,5337,38,0.1691,0.0394,0.5725,0.0863,1.9891,1.405,0.1717,0.2669,4565,1263,7348669,1953463,1351,64,1
MPH-CEB,MPH,CEB,2024,9,4709.52,69.51,5761.28,3312.47,3258.58,742,1862,0.0902,0.0056,1.3168,0.5096,1.9746,1.891,0.0014,0.0813,2618,2606,5909568,7517450,147,386,1
MPH-CRK,MPH,CRK,2024,9,5337.456,100,10000,3312.47,6904.27,742,135,0.0902,0.0065,1.3168,0.1865,1.9746,1.2661,0.0014,0.1108,2618,3779,5909568,5691259,147,243,1
MPH-DVO,MPH,DVO,2024,9,0,0,0,3312.47,5002.83,742,831,0.0902,0.6037,1.3168,0.4554,1.9746,1.7601,0.0014,0.1592,2618,1837,5909568,4116016,147,205,0
MPH-ENI,MPH,ENI,2024,9,0,0,0,3312.47,0,742,0,0.0902,0.0141,1.3168,0.2391,1.9746,1.9942,0.0014,0.0021,2618,1095,5909568,2810208,147,51,0
MPH-ILO,MPH,ILO,2024,9,0,0,0,3312.47,3929,742,563,0.0902,2,1.3168,0.001,1.9746,1.9149,0.0014,0.0007,2618,2618,5909568,5909568,147,147,0
MPH-KLO,MPH,KLO,2024,9,0,0,0,3312.47,6640.59,742,103,0.0902,0.0773,1.3168,0.1044,1.9746,1.8404,0.0014,0.0029,2618,2618,5909568,5909568,147,147,0
MPH-MNL,MPH,MNL,2024,9,33376.824,35.89,3262.39,3312.47,3740.03,742,6030,0.0902,0.1691,1.3168,0.5725,1.9746,1.9891,0.0014,0.1717,2618,4565,5909568,7348669,147,1351,1
OZC-CEB,OZC,CEB,2024,9,1823.04,77.92,6559.05,4098.22,3258.58,115,1862,0.0094,0.0056,0.069,0.5096,1.9415,1.891,0.0078,0.0813,1573,2606,2941319,7517450,135,386,1
OZC-MNL,OZC,MNL,2024,9,7378.248,61.84,5280.37,4098.22,3740.03,115,6030,0.0094,0.1691,0.069,0.5725,1.9415,1.9891,0.0078,0.1717,1573,4565,2941319,7348669,135,1351,1
PAG-CEB,PAG,CEB,2024,9,1579.968,100,10000,7351.61,3258.58,80,1862,0.1565,0.0056,0.0837,0.5096,1.9399,1.891,0.0091,0.0813,1263,2606,1953463,7517450,64,386,1
PAG-MNL,PAG,MNL,2024,9,8477.136,100,10000,7351.61,3740.03,80,6030,0.1565,0.1691,0.0837,0.5725,1.9399,1.9891,0.0091,0.1717,1263,4565,1953463,7348669,64,1351,1
PPS-CEB,PPS,CEB,2024,9,4746.656,78.24,6595,4024.62,3258.58,367,1862,0.0354,0.0056,0.2292,0.5096,1.3649,1.891,0.1602,0.0813,1095,2606,2810208,7517450,51,386,1
PPS-CRK,PPS,CRK,2024,9,0,0,0,4024.62,6904.27,367,135,0.0354,0.0065,0.2292,0.1865,1.3649,1.2661,0.1602,0.1108,1095,3779,2810208,5691259,51,243,0
PPS-DVO,PPS,DVO,2024,9,0,0,0,4024.62,5002.83,367,831,0.0354,0.6037,0.2292,0.4554,1.3649,1.7601,0.1602,0.1592,1095,1837,2810208,4116016,51,205,0
PPS-ENI,PPS,ENI,2024,9,0,0,0,4024.62,0,367,0,0.0354,0.0141,0.2292,0.2391,1.3649,1.9942,0.1602,0.0021,1095,1095,2810208,2810208,51,51,0
PPS-ILO,PPS,ILO,2024,9,2040.792,100,10000,4024.62,3929,367,563,0.0354,2,0.2292,0.001,1.3649,1.9149,0.1602,0.0007,1095,2618,2810208,5909568,51,147,1
PPS-MNL,PPS,MNL,2024,9,23115.472,46.24,3792.51,4024.62,3740.03,367,6030,0.0354,0.1691,0.2292,0.5725,1.3649,1.9891,0.1602,0.1717,1095,4565,2810208,7348669,51,1351,1
RXS-MNL,RXS,MNL,2024,9,7378.248,52.81,4106.97,4106.8,3740.03,89,6030,0.0162,0.1691,0.1767,0.5725,1.9047,1.9891,0.0026,0.1717,2618,4565,5909568,7348669,147,1351,1
SJI-CRK,SJI,CRK,2024,9,0,0,0,0,6904.27,0,135,0.225,0.0065,0.0171,0.1865,1.9857,1.2661,0.0183,0.1108,1095,3779,2810208,5691259,51,243,0
SJI-MNL,SJI,MNL,2024,9,0,0,0,0,3740.03,0,6030,0.225,0.1691,0.0171,0.5725,1.9857,1.9891,0.0183,0.1717,1095,4565,2810208,7348669,51,1351,0
SUG-BXU,SUG,BXU,2024,9,0,0,0,10000,4690.74,12,220,0.0282,0.018,0.0533,0.0452,1.8999,1.8643,0.0128,0.2916,920,920,1728856,1728856,47,47,0
SUG-CEB,SUG,CEB,2024,9,729.216,100,10000,10000,3258.58,12,1862,0.0282,0.0056,0.0533,0.5096,1.8999,1.891,0.0128,0.0813,920,2606,1728856,7517450,47,386,1
SUG-TAG,SUG,TAG,2024,9,0,0,0,10000,4104.2,12,303,0.0282,0.0022,0.0533,0.746,1.8999,1.9782,0.0128,0.0037,920,2606,1728856,7517450,47,386,0
SWL-CEB,SWL,CEB,2024,9,0,0,0,0,3258.58,0,1862,0,0.0056,0.0325,0.5096,1.9923,1.891,0.0009,0.0813,1095,2606,2810208,7517450,51,386,0
TAC-CEB,TAC,CEB,2024,9,2491.488,66.37,5535.95,3266.38,3258.58,470,1862,0.0177,0.0056,0.1266,0.5096,1.7168,1.891,0.1699,0.0813,1528,2606,1695713,7517450,103,386,1
TAC-DVO,TAC,DVO,2024,9,0,0,0,3266.38,5002.83,470,831,0.0177,0.6037,0.1266,0.4554,1.7168,1.7601,0.1699,0.1592,1528,1837,1695713,4116016,103,205,0
TAC-ILO,TAC,ILO,2024,9,0,0,0,3266.38,3929,470,563,0.0177,2,0.1266,0.001,1.7168,1.9149,0.1699,0.0007,1528,2618,1695713,5909568,103,147,0
TAC-MNL,TAC,MNL,2024,9,27472.2,42.72,3552.97,3266.38,3740.03,470,6030,0.0177,0.1691,0.1266,0.5725,1.7168,1.9891,0.1699,0.1717,1528,4565,1695713,7348669,103,1351,1
TAG-CEB,TAG,CEB,2024,9,0,0,0,4049.93,3258.58,342,1862,0.0022,0.0056,0.746,0.5096,1.9782,1.891,0.0037,0.0813,2606,2606,7517450,7517450,386,386,0
TAG-CRK,TAG,CRK,2024,9,0,0,0,4049.93,6904.27,342,135,0.0022,0.0065,0.746,0.1865,1.9782,1.2661,0.0037,0.1108,2606,3779,7517450,5691259,386,243,0
TAG-DRP,TAG,DRP,2024,9,0,0,0,4049.93,4980.88,342,168,0.0022,2,0.746,0.0165,1.9782,1.3268,0.0037,0.0008,2606,1909,7517450,4631579,386,93,0
TAG-DVO,TAG,DVO,2024,9,4746.656,86.42,7652.83,4049.93,5002.83,342,831,0.0022,0.6037,0.746,0.4554,1.9782,1.7601,0.0037,0.1592,2606,1837,7517450,4116016,386,205,1
TAG-ENI,TAG,ENI,2024,9,0,0,0,4049.93,0,342,0,0.0022,0.0141,0.746,0.2391,1.9782,1.9942,0.0037,0.0021,2606,1095,7517450,2810208,386,51,0
TAG-ILO,TAG,ILO,2024,9,0,0,0,4049.93,3929,342,563,0.0022,2,0.746,0.001,1.9782,1.9149,0.0037,0.0007,2606,2618,7517450,5909568,386,147,0
TAG-MNL,TAG,MNL,2024,9,25531,51.47,3844.98,4049.93,3740.03,342,6030,0.0022,0.1691,0.746,0.5725,1.9782,1.9891,0.0037,0.1717,2606,4565,7517450,7348669,386,1351,1
TBH-MNL,TBH,MNL,2024,9,0,0,0,0,3740.03,0,6030,0,0.1691,0.0036,0.5725,1.9984,1.9891,0.0002,0.1717,1095,4565,2810208,7348669,51,1351,0
TBH-MPH,TBH,MPH,2024,9,0,0,0,0,3698.71,0,577,0,0.0902,0.0036,1.3168,1.9984,1.9746,0.0002,0.0014,1095,2618,2810208,5909568,51,147,0
TUG-MNL,TUG,MNL,2024,9,14128.56,82.57,7121.61,7121.45,3740.03,109,6030,0.1667,0.1691,0.1568,0.5725,1.6703,1.9891,0.0064,0.1717,1216,4565,1113791,7348669,46,1351,1
TWT-CBO,TWT,CBO,2024,9,0,0,10000,7592.65,10000,20,61,0.007,0.165,0,0.0388,1.9938,1.9501,0.0007,0.0101,940,940,1878952,1878952,6,6,0
TWT-ZAM,TWT,ZAM,2024,9,313.968,18.18,7025.02,7592.65,7714.68,20,38,0.007,0.0394,0,0.0863,1.9938,1.405,0.0007,0.2669,940,1263,1878952,1953463,6,64,1
USU-CEB,USU,CEB,2024,9,1883.808,60.98,5241.12,5432.72,3258.58,159,1862,0.0053,0.0056,0.0456,0.5096,1.9757,1.891,0.0016,0.0813,1095,2606,2810208,7517450,51,386,1
USU-CRK,USU,CRK,2024,9,0,0,10000,5432.72,6904.27,159,135,0.0053,0.0065,0.0456,0.1865,1.9757,1.2661,0.0016,0.1108,1095,3779,2810208,5691259,51,243,0
USU-ENI,USU,ENI,2024,9,0,0,0,5432.72,0,159,0,0.0053,0.0141,0.0456,0.2391,1.9757,1.9942,0.0016,0.0021,1095,1095,2810208,2810208,51,51,0
USU-MNL,USU,MNL,2024,9,4375.296,76.83,6278.03,5432.72,3740.03,159,6030,0.0053,0.1691,0.0456,0.5725,1.9757,1.9891,0.0016,0.1717,1095,4565,2810208,7348669,51,1351,1
VRC-MNL,VRC,MNL,2024,9,156.984,100,10000,10000,3740.03,1,6030,0.0996,0.1691,0.0298,0.5725,1.9966,1.9891,0.0009,0.1717,1909,4565,4631579,7348669,93,1351,1
WNP-MNL,WNP,MNL,2024,9,2977.632,100,10000,10000,3740.03,49,6030,1.1518,0.1691,0.0089,0.5725,1.909,1.9891,0.0013,0.1717,1909,4565,4631579,7348669,93,1351,1
ZAM-CEB,ZAM,CEB,2024,9,4866.504,86.71,7695.25,5970.13,3258.58,300,1862,0.0394,0.0056,0.0863,0.5096,1.405,1.891,0.2669,0.0813,1263,2606,1953463,7517450,64,386,1
ZAM-DVO,ZAM,DVO,2024,9,0,0,0,5970.13,5002.83,300,831,0.0394,0.6037,0.0863,0.4554,1.405,1.7601,0.2669,0.1592,1263,1837,1953463,4116016,64,205,0
ZAM-GES,ZAM,GES,2024,9,0,0,0,5970.13,5047.22,300,187,0.0394,0.0677,0.0863,0.0731,1.405,1.8292,0.2669,0.1054,1263,1625,1953463,1705910,64,82,0
ZAM-ILO,ZAM,ILO,2024,9,0,0,0,5970.13,3929,300,563,0.0394,2,0.0863,0.001,1.405,1.9149,0.2669,0.0007,1263,2618,1953463,5909568,64,147,0
ZAM-MNL,ZAM,MNL,2024,9,23307.904,68.59,5691.18,5970.13,3740.03,300,6030,0.0394,0.1691,0.0863,0.5725,1.405,1.9891,0.2669,0.1717,1263,4565,1953463,7348669,64,1351,1
ZAM-TWT,ZAM,TWT,2024,9,4866.504,77.5,6512.5,5970.13,5933.94,300,49,0.0394,0.007,0.0863,0,1.405,1.9938,0.2669,0.0007,1263,940,1953463,1878952,64,6,1
BCD-CEB,BCD,CEB,2024,10,4010.688,55.08,5051.61,3500.03,3371.45,623,2351,0.0525,0.0056,0.1407,0.5096,1.7466,1.891,0.1829,0.0813,2618,2606,5909568,7517450,147,386,1
BCD-DVO,BCD,DVO,2024,10,3610.632,100,10000,3500.03,5142.24,623,965,0.0525,0.6037,0.1407,0.4554,1.7466,1.7601,0.1829,0.1592,2618,1837,5909568,4116016,147,205,1
BCD-MNL,BCD,MNL,2024,10,37257.536,46.31,3744.17,3500.03,3802.6,623,6436,0.0525,0.1691,0.1407,0.5725,1.7466,1.9891,0.1829,0.1717,2618,4565,5909568,7348669,147,1351,1
BPA-CEB,BPA,CEB,2024,10,0,0,10000,10000,3371.45,13,2351,0,0.0056,0.0491,0.5096,1.9298,1.891,0.0072,0.0813,1528,2606,1695713,7517450,103,386,0
BSO-CRK,BSO,CRK,2024,10,0,0,10000,10000,8792.58,10,247,0.0348,0.0065,0.2377,0.1865,1.996,1.2661,0.0006,0.1108,1216,3779,1113791,5691259,46,243,0
BSO-MNL,BSO,MNL,2024,10,0,0,0,10000,3802.6,10,6436,0.0348,0.1691,0.2377,0.5725,1.996,1.9891,0.0006,0.1717,1216,4565,1113791,7348669,46,1351,0
BXU-CEB,BXU,CEB,2024,10,2369.952,57.92,5125.45,4580.6,3371.45,242,2351,0.018,0.0056,0.0452,0.5096,1.8643,1.891,0.2916,0.0813,920,2606,1728856,7517450,47,386,1
BXU-MNL,BXU,MNL,2024,10,18184.824,65.79,5498.65,4580.6,3802.6,242,6436,0.018,0.1691,0.0452,0.5725,1.8643,1.9891,0.2916,0.1717,920,4565,1728856,7348669,47,1351,1
CBO-CEB,CBO,CEB,2024,10,0,0,10000,10000,3371.45,62,2351,0.165,0.0056,0.0388,0.5096,1.9501,1.891,0.0101,0.0813,940,2606,1878952,7517450,6,386,0
CBO-MNL,CBO,MNL,2024,10,0,0,10000,10000,3802.6,62,6436,0.165,0.1691,0.0388,0.5725,1.9501,1.9891,0.0101,0.1717,940,4565,1878952,7348669,6,1351,0
CBO-TAG,CBO,TAG,2024,10,0,0,0,10000,4183.69,62,310,0.165,0.0022,0.0388,0.746,1.9501,1.9782,0.0101,0.0037,940,2606,1878952,7517450,6,386,0
CBO-TWT,CBO,TWT,2024,10,0,0,10000,10000,6255.27,62,67,0.165,0.007,0.0388,0,1.9501,1.9938,0.0101,0.0007,940,940,1878952,1878952,6,6,0
CEB-BAG,CEB,BAG,2024,10,0,0,0,3535.15,0,2351,0,0.0056,0.2033,0.5096,0.5139,1.891,1.4349,0.0813,0.1274,2606,627,7517450,1983511,386,38,0
CEB-BCD,CEB,BCD,2024,10,4010.688,54.66,4975.67,3535.15,3362.41,2351,565,0.0056,0.0525,0.5096,0.1407,1.891,1.7466,0.0813,0.1829,2606,2618,7517450,5909568,386,147,1
CEB-BPA,CEB,BPA,2024,10,0,0,10000,3535.15,10000,2351,12,0.0056,0,0.5096,0.0491,1.891,1.9298,0.0813,0.0072,2606,1528,7517450,1695713,386,103,0
CEB-BXU,CEB,BXU,2024,10,1093.824,37.52,5311.5,3535.15,4927.4,2351,222,0.0056,0.018,0.5096,0.0452,1.891,1.8643,0.0813,0.2916,2606,920,7517450,1728856,386,47,1
CEB-CBO,CEB,CBO,2024,10,0,0,10000,3535.15,10000,2351,64,0.0056,0.165,0.5096,0.0388,1.891,1.9501,0.0813,0.0101,2606,940,7517450,1878952,386,6,0
CEB-CGM,CEB,CGM,2024,10,2552.256,100,10000,3535.15,10000,2351,42,0.0056,0.0017,0.5096,0.0699,1.891,1.9936,0.0813,0.0058,2606,1573,7517450,2941319,386,135,1
CEB-CGY,CEB,CGY,2024,10,2491.488,40.8,5169.28,3535.15,3638.02,2351,506,0.0056,0.072,0.5096,0.0369,1.891,1.9531,0.0813,0.0014,2606,1573,7517450,2941319,386,135,1
CEB-CRK,CEB,CRK,2024,10,11773.8,97.24,9463.24,3535.15,8792.58,2351,247,0.0056,0.0065,0.5096,0.1865,1.891,1.2661,0.0813,0.1108,2606,3779,7517450,5691259,386,243,1
CEB-CRM,CEB,CRM,2024,10,0,0,0,3535.15,10000,2351,17,0.0056,0.0586,0.5096,0.0541,1.891,1.9967,0.0813,0.0006,2606,1528,7517450,1695713,386,103,0
CEB-CYP,CEB,CYP,2024,10,850.752,100,10000,3535.15,5021.48,2351,27,0.0056,0.0009,0.5096,0.3387,1.891,1.9297,0.0813,0.0019,2606,1528,7517450,1695713,386,103,1
CEB-DGT,CEB,DGT,2024,10,972.288,100,10000,3535.15,5149.15,2351,197,0.0056,0,0.5096,0.1754,1.891,1.9427,0.0813,0.0084,2606,2606,7517450,7517450,386,386,1
CEB-DPL,CEB,DPL,2024,10,0,0,0,3535.15,5113.53,2351,73,0.0056,0.0248,0.5096,0.2653,1.891,1.9409,0.0813,0.0123,2606,1263,7517450,1953463,386,64,0
CEB-DRP,CEB,DRP,2024,10,546.912,100,10000,3535.15,4802.57,2351,173,0.0056,2,0.5096,0.0165,1.891,1.3268,0.0813,0.0008,2606,1909,7517450,4631579,386,93,1
CEB-DVO,CEB,DVO,2024,10,21035.856,74.57,6207.37,3535.15,5142.24,2351,965,0.0056,0.6037,0.5096,0.4554,1.891,1.7601,0.0813,0.1592,2606,1837,7517450,4116016,386,205,1
CEB-ENI,CEB,ENI,2024,10,0,0,0,3535.15,0,2351,0,0.0056,0.0141,0.5096,0.2391,1.891,1.9942,0.0813,0.0021,2606,1095,7517450,2810208,386,51,0
CEB-GES,CEB,GES,2024,10,5494.44,76.75,6431.12,3535.15,5495.02,2351,261,0.0056,0.0677,0.5096,0.0731,1.891,1.8292,0.0813,0.1054,2606,1625,7517450,1705910,386,82,1
CEB-IAO,CEB,IAO,2024,10,5651.424,62.17,5163.77,3535.15,4976.33,2351,262,0.0056,0.0426,0.5096,0,1.891,1.977,0.0813,0.0025,2606,920,7517450,1728856,386,47,1
CEB-ILO,CEB,ILO,2024,10,9515.256,74.08,5152.73,3535.15,4213.48,2351,698,0.0056,2,0.5096,0.001,1.891,1.9149,0.0813,0.0007,2606,2618,7517450,5909568,386,147,1
CEB-MBT,CEB,MBT,2024,10,60.768,16.22,7282.18,3535.15,7282.69,2351,3,0.0056,0,0.5096,0.052,1.891,1.9706,0.0813,0.0011,2606,1909,7517450,4631579,386,93,1
CEB-MNL,CEB,MNL,2024,10,68234.868,47.38,3755.09,3535.15,3802.6,2351,6436,0.0056,0.1691,0.5096,0.5725,1.891,1.9891,0.0813,0.1717,2606,4565,7517450,7348669,386,1351,1
CEB-MPH,CEB,MPH,2024,10,9322.824,77.56,6440.52,3535.15,4052.31,2351,682,0.0056,0.0902,0.5096,1.3168,1.891,1.9746,0.0813,0.0014,2606,2618,7517450,5909568,386,147,1
CEB-OZC,CEB,OZC,2024,10,1615.416,77.87,5489.13,3535.15,4212.92,2351,109,0.0056,0.0094,0.5096,0.069,1.891,1.9415,0.0813,0.0078,2606,1573,7517450,2941319,386,135,1
CEB-PAG,CEB,PAG,2024,10,2248.416,100,10000,3535.15,6790.24,2351,94,0.0056,0.1565,0.5096,0.0837,1.891,1.9399,0.0813,0.0091,2606,1263,7517450,1953463,386,64,1
CEB-PPS,CEB,PPS,2024,10,8352.224,72.94,6052.49,3535.15,4107.33,2351,472,0.0056,0.0354,0.5096,0.2292,1.891,1.3649,0.0813,0.1602,2606,1095,7517450,2810208,386,51,1
