DATE,FROM,TO,AIRCRAFT,FLIGHT TIME,STD,ATD,STA,STATUS,FLIGHT NUMBER,AIRLINE
6/23/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:12:00,9:45:00,9:35:00,11:15:00,Landed 10:47 AM,PR2688,Philippine Airlines
6/22/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:11:00,9:45:00,9:45:00,11:15:00,Landed 10:57 AM,PR2688,Philippine Airlines
6/21/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:10:00,9:45:00,9:39:00,11:15:00,Landed 10:49 AM,PR2688,Philippine Airlines
6/20/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5911),1:14:00,9:45:00,9:42:00,11:15:00,Landed 10:57 AM,PR2688,Philippine Airlines
6/19/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:09:00,9:45:00,9:46:00,11:15:00,Landed 10:56 AM,PR2688,Philippine Airlines
6/18/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5911),1:15:00,9:45:00,9:53:00,11:15:00,Landed 11:08 AM,PR2688,Philippine Airlines
6/17/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:16:00,9:45:00,9:49:00,11:15:00,Landed 11:06 AM,PR2688,Philippine Airlines
6/15/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:18:00,9:45:00,9:37:00,11:15:00,Landed 10:56 AM,PR2688,Philippine Airlines
6/14/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:18:00,9:45:00,9:43:00,11:15:00,Landed 11:01 AM,PR2688,Philippine Airlines
6/13/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5905),1:11:00,9:45:00,9:41:00,11:15:00,Landed 10:52 AM,PR2688,Philippine Airlines
6/11/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:13:00,9:45:00,9:44:00,11:15:00,Landed 10:57 AM,PR2688,Philippine Airlines
6/10/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:12:00,9:45:00,9:56:00,11:15:00,Landed 11:08 AM,PR2688,Philippine Airlines
6/9/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:19:00,9:45:00,9:52:00,11:15:00,Landed 11:11 AM,PR2688,Philippine Airlines
6/8/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5906),1:19:00,9:45:00,9:44:00,11:15:00,Landed 11:04 AM,PR2688,Philippine Airlines
6/7/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:08:00,9:45:00,9:25:00,11:15:00,Landed 10:34 AM,PR2688,Philippine Airlines
6/6/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:13:00,9:45:00,9:38:00,11:15:00,Landed 10:51 AM,PR2688,Philippine Airlines
6/5/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:15:00,9:45:00,9:19:00,11:15:00,Landed 10:34 AM,PR2688,Philippine Airlines
6/4/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5902),1:12:00,9:45:00,9:32:00,11:15:00,Landed 10:45 AM,PR2688,Philippine Airlines
6/3/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5911),1:14:00,9:45:00,9:59:00,11:15:00,Landed 11:13 AM,PR2688,Philippine Airlines
6/2/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:19:00,9:45:00,10:30:00,11:15:00,Landed 11:49 AM,PR2688,Philippine Airlines
6/1/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5915),1:16:00,9:45:00,9:40:00,11:15:00,Landed 10:57 AM,PR2688,Philippine Airlines
5/31/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5911),1:17:00,9:45:00,9:45:00,11:15:00,Landed 11:03 AM,PR2688,Philippine Airlines
5/30/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5911),1:11:00,9:45:00,9:29:00,11:15:00,Landed 10:40 AM,PR2688,Philippine Airlines
5/29/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:10:00,9:45:00,9:36:00,11:15:00,Landed 10:46 AM,PR2688,Philippine Airlines
5/28/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:12:00,9:45:00,9:39:00,11:15:00,Landed 10:52 AM,PR2688,Philippine Airlines
5/27/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5912),1:24:00,9:45:00,9:52:00,11:15:00,Landed 11:16 AM,PR2688,Philippine Airlines
5/26/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5917),1:13:00,9:45:00,9:41:00,11:15:00,Landed 10:55 AM,PR2688,Philippine Airlines
5/25/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5910),1:19:00,9:45:00,9:42:00,11:15:00,Landed 11:01 AM,PR2688,Philippine Airlines
5/24/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5903),1:11:00,9:45:00,9:38:00,11:15:00,Landed 10:50 AM,PR2688,Philippine Airlines
5/23/2025 0:00,Angeles City (CRK),Basco (BSO),DH8D (RP-C5907),1:14:00,9:45:00,9:29:00,11:15:00,Landed 10:44 AM,PR2688,Philippine Airlines
